Project,Status,Comment,Decision,Plan
LAD,Deprecated after refactoring,"• we should keep as they are used by ml/logpatterns and ml/grokwizard :
    ◦ ml/lad/online/template_extraction
    ◦ ml/lad/tests/online/template_extraction",Remove,"- move ml/lad/tests/online/template_extraction to ml/common/utils
- move ml/lad/tests/online/tests/template_extraction to ml/common/tests
- refactor logpatterns to fix the import
- refactor logpatterns_Dockerfile 
- remove ml/lad, ml/lad_*_Dockerfile"
ml/common/kafka/io.py / ml/common/kafka/conntector.py,Deprecated after refactoring,Can be removed after we refactor LPD to use ml/common/kafka/ingestor.py,Keep,"- refactor ml/lpd
- refactor lpd_Dockerfile
- remove ml/common/kafka/io.py and ml/common/kafka/connector.py"
,,,,
ml/backup,Partially used in production,,Keep,
ml/monitor,Partially used in production,,Keep,
ml/isquad,Not used in production,,Keep,
ml/vpa,Not used in production,,Keep,
ml/sentiment,Not used in production,,Keep,
ml/grok,Deprecated,,Remove,
ml/grokbot,Deprecated,,Remove,
ml/post_processor,Deprecated,,Remove,
