Step,Assign,Blocked by,Blocking,Date,Man.Month,Status
Project scoping,,,,"January 4, 2023 → January 11, 2023",,Not started
—— WP2: Elastic support (can be done before WP1),,,WP3.1 : Deployment (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP3%201%20Deployment%208d04d01c1f9446d0962ee619d4515543.html),"February 12, 2023 → March 19, 2023",2,Not started
WP1.1 : Solution deployment,,Cluster created (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/Cluster%20created%20869766c7f4fb497b8728f01f7a4759c5.html),WP1.2 : LP + LH (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP1%202%20LP%20+%20LH%206c0caee9fce54bf1a55843c4244b1541.html),"February 10, 2023 → February 24, 2023",,Not started
Images pulled locally + scanned,,,Cluster created (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/Cluster%20created%20869766c7f4fb497b8728f01f7a4759c5.html),"January 9, 2023 → January 17, 2023",,Not started
Cluster created,,Images pulled locally + scanned (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/Images%20pulled%20locally%20+%20scanned%20701b36b124b84adb8f747e23b0f2acdc.html),WP1.1 : Solution deployment (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP1%201%20Solution%20deployment%203e6b338aa72e41e4be8416b6b4889234.html),"January 17, 2023 → January 28, 2023",,Not started
WP1.2 : LP + LH,,WP1.1 : Solution deployment (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP1%201%20Solution%20deployment%203e6b338aa72e41e4be8416b6b4889234.html),WP1.3 : Production release on XL data (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP1%203%20Production%20release%20on%20XL%20data%20ac183c2667e14e5ea4313647bf6cdcd8.html),"February 23, 2023 → March 5, 2023",,Not started
WP3.3 : LP + LH,,,WP3.4 : Production release on XXL data (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP3%204%20Production%20release%20on%20XXL%20data%20067c533afee64cfca676ea16682200a2.html),"April 2, 2023 → April 28, 2023",,Not started
WP1.3 : Production release on XL data,,WP1.2 : LP + LH (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP1%202%20LP%20+%20LH%206c0caee9fce54bf1a55843c4244b1541.html),,"March 1, 2023 → March 14, 2023",,Not started
WP3.1 : Deployment,,—— WP2: Elastic support (can be done before WP1) (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/%E2%80%94%E2%80%94%20WP2%20Elastic%20support%20(can%20be%20done%20before%20WP1)%2010f599ddca374cbabf82df65c7f96b46.html),WP3.2 : Volume XXL ramp-up (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP3%202%20Volume%20XXL%20ramp-up%20676a3308df9b43638914b23d3dbd8ab2.html),"March 18, 2023 → March 26, 2023",,Not started
WP3.4 : Production release on XXL data,,"WP3.3 : LP + LH (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP3%203%20LP%20+%20LH%2097c4b86e13cc4948bcaaca95525f81bc.html), WP3.2 : Volume XXL ramp-up (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Planning%20for%20meeting%20with%20JMG%2003%2001%2023%20b6ad84f552a947ca8faa05e9286eeb92/WP3%202%20Volume%20XXL%20ramp-up%20676a3308df9b43638914b23d3dbd8ab2.html)",,"May 3, 2023 → May 31, 2023",,Not started
