Step,Assign,Blocked by,Blocking,Date,Man.Month,Status
Project scoping,,,,"January 4, 2023 → January 11, 2023",,Not started
WP1.2 Elastic support of BNPP,,,,"March 1, 2023 → March 31, 2023",1,Not started
WP3.1: Constitution of training datasets from BNPP logs,,,,"September 1, 2023 → September 28, 2023",1,Not started
WP1.4: Full scale solution deployment,,,,"April 16, 2023 → May 16, 2023",1.5,Not started
—— WP3 : AI-based log management using LLM,,,,"September 1, 2023 → November 30, 2023",6,Not started
Cluster created,,Images pulled locally + scanned (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Updated%20planning%2004%2001%2023%2033653f19677549eb92c1667e6544e4bc/Images%20pulled%20locally%20+%20scanned%20a8d56adadb72428ab468141c26e6e18b.html),,"January 17, 2023 → January 28, 2023",,Not started
—— WP3 : StackOverflow integration for Root Cause Analysis (RCA),,,,"December 1, 2023 → February 29, 2024",6,Not started
—— WP1 : Deploy PAI on XL-size scope (<2Tb/day),,,,"February 1, 2023 → April 30, 2023",6,Not started
WP1.3: Grok Deployment + LP + LH,,,,"April 2, 2023 → May 2, 2023",1.5,Not started
WP2.2: Testing of fine tuning capacity of each LLM on log datasets,,,,"June 1, 2023 → July 15, 2023",0.5,Not started
Images pulled locally + scanned,,,Cluster created (BNP%20Paribas%20meeting%2003%2001%2023%20884d4254ae234efb98e28af9dba42c8c/Updated%20planning%2004%2001%2023%2033653f19677549eb92c1667e6544e4bc/Cluster%20created%2025c56e09fb2e40b98534b797a34d32ac.html),"January 9, 2023 → January 17, 2023",,Not started
WP2.3: Comparative analysis with charts and dashboards,,,,"June 23, 2023 → July 31, 2023",0.5,Not started
WP2.1: Testing of market-leading LLMs,,,,"May 1, 2023 → June 30, 2023",5,Not started
—— WP2 : OS LLM Benchmark,,,,"April 30, 2023 → July 31, 2023",6,Not started
WP3.1: Local StackOverflow deployment,,,,"December 1, 2023 → January 15, 2024",3,Not started
WP 3.2: KnowledgeBase integration,,,,"December 31, 2023 → February 29, 2024",3,Not started
WP3.2: LLM fine tuning for RCA purpose,,,,"September 30, 2023 → October 27, 2023",2,Not started
WP3.3: BNPP log exploration & search powered by NLP,,,,"October 2, 2023 → December 1, 2023",3,Not started
WP1.1: Install PacketAI,,,,"February 1, 2023 → March 3, 2023",2,Not started
