Web framework,Versions
Akka Http client,10.1
Akka Http server,10.1
Apache HTTP Core (synchronous only),"4.0.x, 4.1.x"
Apache HttpAsyncClient,"4.0.x, 4.1.x"
Apache HttpClient,"3.1, 4.x"
Elasticsearch,"1.71, 2.01, 2.11, 2.21"
Grails,3.x2
Java HttpUrlConnection,All versions supported
Java IMS Soap Gateway client,3.2
LinkerdD,1.x
Netty,"3.10, 4.x"
Ning Asynchronous HTTP Client,"1.8, 1.9"
OkHttp,3.x
Play Framework,"2.2, 2.3, 2.4, 2.5, 2.6, 2.7"
Reactor-Netty,"0.6, 0.7, 0.8, 0.9"
Servlet Engine,"2.5, 3.0, 3.1"
Software AG WebMethods Integration Server,"9.03, 9.5-9.103, 10.0-10.33"
Spring WebFlux,5.x
Spring WebFlux WebClient,5.x
Vert.x,"2.x, 3.0-3.5, 3.6, 3.7"
