startDate,label,causalITComponentId,detected,detectionAnomalyType,end,infrastructure,start
"January 28, 2022 13:36",TP,gateway_caddy_server,1643376960000,general log frequency,1643376960000,6040a96cdcc614001153fc55,1643376960000
"January 30, 2022 15:55 (GMT)",TP,linux608ac1c48e4afc0040b43d19,1643558100000,general log frequency,1643558100000,6040a96cdcc614001153fc55,1643558100000
"January 30, 2022 6:14 (GMT)",TP,linux61c1cf78946cf90125d0753e,1643523240000,general log frequency,1643523300000,6040a96cdcc614001153fc55,1643523240000
"January 30, 2022 9:15 (GMT)",TP,linux61c1cf78946cf90125d0753e,1643534880000,general log frequency,1643534880000,6040a96cdcc614001153fc55,1643534880000
"January 30, 2022 9:41 (GMT)",TP,linux61c1cf78946cf90125d0753e,1643535660000,general log frequency,1643535720000,6040a96cdcc614001153fc55,1643535660000
"January 30, 2022 8:11 (GMT) → 8:11",TP,linux61c20ad4946cf90125d07642,1643530560000,general log frequency,1643530620000,6040a96cdcc614001153fc55,1643530260000
"January 29, 2022 4:24 (GMT)",TP,linux61c20ad4946cf90125d07642,1643430240000,general log frequency,1643430240000,6040a96cdcc614001153fc55,1643430240000
"January 28, 2022 22:21 (GMT)",TP,linux61c20ad4946cf90125d07642,1643408460000,general log frequency,1643408460000,6040a96cdcc614001153fc55,1643408460000
"January 30, 2022 9:28 (GMT)",TP,linux61c20ad4946cf90125d07642,1643534880000,general log frequency,1643534930000,6040a96cdcc614001153fc55,1643534880000
"January 30, 2022 9:19 (GMT)",TP,linux61c314eaa137b10130daf2b3,1643534340000,general log frequency,1643534390000,6040a96cdcc614001153fc55,1643534340000
"January 30, 2022 9:15 (GMT)",TP,linux61c32232a137b10130daf2e1,1643534340000,general log frequency,1643534880000,6040a96cdcc614001153fc55,1643534340000
"January 27, 2022 14:02 (GMT)",TP,linux61c35323a137b10130daf3ad,1643292120000,general log frequency,1643292250000,6040a96cdcc614001153fc55,1643292120000
"January 30, 2022 9:19 (GMT)",TP,linux61c35323a137b10130daf3ad,1643534340000,general log frequency,1643534880000,6040a96cdcc614001153fc55,1643534340000
"January 28, 2022 19:54 (GMT)",TP,linux61c35323a137b10130daf3ad,1643399640000,general log frequency,1643399640000,6040a96cdcc614001153fc55,1643399640000
"January 27, 2022 20:23 (GMT)",TP,linux61c35323a137b10130daf3ad,1643314980000,general log frequency,1643314980000,6040a96cdcc614001153fc55,1643314980000
"January 28, 2022 14:53 (GMT)",TP,nginxappsmith_appsmith-nginx,1643381580000,general log frequency,1643381580000,6040a96cdcc614001153fc55,1643381580000
"January 29, 2022 8:31 (GMT)",TP,noderealtime-status_realtime-worker,1643445060000,general log frequency,1643445060000,6040a96cdcc614001153fc55,1643445060000
"January 28, 2022 8:31 (GMT)",FP,noderealtime-status_realtime-worker,1643358660000,general log frequency,1643358660000,6040a96cdcc614001153fc55,1643358660000
"January 29, 2022 1:01 (GMT)",TP,pythonhyperion_client-plages,1643418060000,general log frequency,1643418060000,6040a96cdcc614001153fc55,1643418060000
"January 30, 2022 23:02 (GMT)",TP,rabbitmqqueue_rabbitmq,1643583720000,general log frequency,1643583780000,6040a96cdcc614001153fc55,1643583720000
"January 30, 2022 8:10 (GMT)",TP,redisgaia_redis,1643530200000,general log frequency,1643530590000,6040a96cdcc614001153fc55,1643530200000
,,,,,,,
