timestamp,issue,severity,feedback,Column
21/06/2021,docker network isolated peak,warning,-,
22/06,group peak of docker network and diskio,warning,no,
24/06,group docker diskio change,warning,no,
24/06,docker network isolated peak,warning,no,
24/06,docker network isolated peak,warning,yes,
25/06,docker network isolated peak,warning,no,
28/06,docker network group peak,warning,no,
28/06,docker network group peak,warning,no,
29/06,docker network group peak,warning,no,
30/06,docker network group peak,warning,no,
30/06,log negative sentiment,warning,no,
01/07,log negative sentiment,warning,no,
01/07,docker network isolated peak,warning,no,
03/07,log negative sentiment,warning,yes,
03/07,docker network group peak,warning,no,
04/07,log negative sentiment,warning,no,
05/07,docker network group peak,warning,no,
05/07,log negative sentiment,warning,no,
05/07,system process upward short shift,warning,no,
06/07,log negative sentiment,warning,yes,
07/07,log negative sentiment,warning,yes,
08/07,-,-,-,
09/07,-,,,
10/07,-,,,
11/07,-,,,
12/07,-,,,
13/07,group peak of docker network and memory,info,no,
13/07,docker network group peak,info,no,
14/07,docker network isolated peak,info,no,
14/07,log negative sentiment,info,no,
15/07,-,,,
16/07,log negative sentiment,info,no,
17/07,group anomaly rabbitmq,info,no,
18/07,-,,,
19/07,-,,,
20/07,log negative sentiment,info,no,
20/07,log negative sentiment,info,no,
20/07,log negative sentiment,warning,yes,
21/07,log negative sentiment,info,no,
21/07,log negative sentiment,info,no,
21/07,log negative sentiment,info,yes,
22/07,log negative sentiment,info,no,
22/07,log negative sentiment,info,yes,
23/07,log negative sentiment,info,no,
24/07,log negative sentiment,info,yes,
25/07,-,,,
