Level of importance,Topic,Description
Must have,Role based access,Ability to have different access for different roles within the team.
Must have,Stability of the solution,No major latencies or breakdowns
Must have,Custom metrics,Ability to push custom metrics like with prometheus
Must have,Thresholding,Ability to set up thresholds
Important,Resource utilisation of the agent,Make sure PacketAI does not consume a high % of CPU
Important,SSO,Ability to sign in via SSO
Important,Machine Learning Features,How does AI help in faster troubleshooting
Others,Non Root Access,Agent does not need root access
Others,Reporting Feature,Get an easy to understand report
Others,PacketAI Tutorial,Highlight UI/UX features of PacketAI via a training module
