Host Name,Technologies (user input required),Logs,Metrics,URL,Agent status
cw-web-gra3-2,Nginx,Not working,Not working,,Stopped
cw-back-gra2-4,RabbitMQ,Not working,Not working,,Stopped
cw-back-gra2-4,Mysql,Not working,Not working,,Stopped
cw-back-gra2-3,RabbitMQ,Not working,Not working,,Stopped
cw-back-gra2-3,Mysql,Not working,Not working,,Stopped
cw-api-gra3-2,Nginx,Not working,Not working,,Stopped
cw-middle-gra3-2,Mysql,Not working,Not working,NA,Running
cw-middle-gra3-2,Haproxy,Working,Not working,https://app-cwallet.packetai.co/ITComponents/haproxy/ITComponent/haproxy255e84122786c02b/insights/events,Running
cw-lb-gra3-1,Haproxy,Working,Not working,https://app-cwallet.packetai.co/ITComponents/haproxy/ITComponent/haproxy255e84122786c02b/insights/events,Running
cw-back-gra2-5,Mysql,Not working,Working,https://app-cwallet.packetai.co/ITComponents/mysql/ITComponent/mysqlc7417121bf497af2/insights/metrics,Running
cw-back-gra2-5,Redis,Working,Working,https://app-cwallet.packetai.co/ITComponents/redis/ITComponent/redisd8c18514db6a755b/insights/metrics,Running
cw-back-gra2-5,RabbitMQ,Working,Working,https://app-cwallet.packetai.co/ITComponents/rabbitmq/ITComponent/rabbitmqeb234c270bf3d9cd/insights/metrics,Running
cw-middle-gra3-2,Apache,Working,Working,https://app-cwallet.packetai.co/ITComponents/apache/ITComponent/apache18870476d1dd1663/insights/metrics,Running
cw-lb-gra3-1,Nginx,Working,Working,https://app-cwallet.packetai.co/ITComponents/nginx/ITComponent/nginxba18fc3c4101f4dc/insights/events,Running
cw-web-gra3-1,Nginx,Working,Working,https://app-cwallet.packetai.co/ITComponents/nginx/ITComponent/nginx22d27dc8e4237c4f/insights/metrics,Running
cw-admin-gra3-1,Nginx,Working,Working,https://app-cwallet.packetai.co/ITComponents/nginx/ITComponent/nginx99d285f46098ef8a/insights/metrics,Running
cw-api-gra3-1,Nginx,Working,Working,https://app-cwallet.packetai.co/ITComponents/nginx/ITComponent/nginxe384f96a12cfc88a/insights/metrics,Running
,,,,,
