Property,count_metric,topic,infra_id,agent_id,component_id
0,26,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-logstash-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-logstash
1,26,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-externals-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-externals
2,5,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-cron-manager-backup-db-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-cron-manager-backup-db
3,23,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-hurukai-minio-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-hurukai-minio
4,23,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-hurukai-kafka-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-hurukai-kafka
5,23,6203f3e169c88800129b37d5-galerieslafayette-metric-monitoring-dmon-prometheus-prometheus-node-exporter-stashed,6203f3e169c88800129b37d5,galerieslafayette,monitoring-dmon-prometheus-prometheus-node-exporter
6,24,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-hurukai-zookeeper-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-hurukai-zookeeper
7,26,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-agent-service-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-agent-service
8,54,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-collector-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-collector
9,26,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-ui-daphne-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-ui-daphne
10,26,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-elasticsearch-exporter-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-elasticsearch-exporter
11,27,6203f3e169c88800129b37d5-galerieslafayette-metric-kube-system-depl-coredns-stashed,6203f3e169c88800129b37d5,galerieslafayette,kube-system-depl-coredns
12,26,6203f3e169c88800129b37d5-galerieslafayette-metric-registry-depl-registry-docker-registry-stashed,6203f3e169c88800129b37d5,galerieslafayette,registry-depl-registry-docker-registry
13,23,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-pg-ha-postgresql-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-pg-ha-postgresql
14,26,6203f3e169c88800129b37d5-galerieslafayette-metric-kube-system-depl-metrics-server-stashed,6203f3e169c88800129b37d5,galerieslafayette,kube-system-depl-metrics-server
15,26,6203f3e169c88800129b37d5-galerieslafayette-metric-monitoring-depl-prometheus-kube-prometheus-operator-stashed,6203f3e169c88800129b37d5,galerieslafayette,monitoring-depl-prometheus-kube-prometheus-operator
16,26,6203f3e169c88800129b37d5-galerieslafayette-metric-traefik-depl-traefik-stashed,6203f3e169c88800129b37d5,galerieslafayette,traefik-depl-traefik
17,26,6203f3e169c88800129b37d5-galerieslafayette-metric-kube-system-depl-local-path-provisioner-stashed,6203f3e169c88800129b37d5,galerieslafayette,kube-system-depl-local-path-provisioner
18,23,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-elasticsearch-es-master-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-elasticsearch-es-master
19,26,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-ui-nginx-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-ui-nginx
