Property,metric_count,metric_count_filtered,Comment,topic,infra_id,agent_id,component_id
11,0,0,Fails to connect to Kafka,6203f3e169c88800129b37d5-galerieslafayette-metric-packetai-depl-packetai-kube-state-metrics-stashed,6203f3e169c88800129b37d5,galerieslafayette,packetai-depl-packetai-kube-state-metrics
1,5,0,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-cron-manager-backup-db-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-cron-manager-backup-db
13,42,23,,6203f3e169c88800129b37d5-galerieslafayette-metric-traefik-dmon-svclb-traefik-stashed,6203f3e169c88800129b37d5,galerieslafayette,traefik-dmon-svclb-traefik
7,42,23,,6203f3e169c88800129b37d5-galerieslafayette-metric-monitoring-dmon-prometheus-prometheus-node-exporter-stashed,6203f3e169c88800129b37d5,galerieslafayette,monitoring-dmon-prometheus-prometheus-node-exporter
23,45,23,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-hurukai-minio-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-hurukai-minio
16,46,24,,6203f3e169c88800129b37d5-galerieslafayette-metric-packetai-dmon-packetai-packetai-agent-stashed,6203f3e169c88800129b37d5,galerieslafayette,packetai-dmon-packetai-packetai-agent
8,47,26,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-hurukai-kafka-exporter-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-hurukai-kafka-exporter
18,47,26,,6203f3e169c88800129b37d5-galerieslafayette-metric-monitoring-depl-prometheus-kube-state-metrics-stashed,6203f3e169c88800129b37d5,galerieslafayette,monitoring-depl-prometheus-kube-state-metrics
30,47,24,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-hurukai-zookeeper-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-hurukai-zookeeper
4,47,26,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-elasticsearch-exporter-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-elasticsearch-exporter
27,47,26,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-depl-pg-ha-pgpool-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-depl-pg-ha-pgpool
31,47,26,,6203f3e169c88800129b37d5-galerieslafayette-metric-monitoring-depl-prometheus-kube-prometheus-operator-stashed,6203f3e169c88800129b37d5,galerieslafayette,monitoring-depl-prometheus-kube-prometheus-operator
17,51,27,,6203f3e169c88800129b37d5-galerieslafayette-metric-packetai-depl-packetai-packetai-agent-cluster-stashed,6203f3e169c88800129b37d5,galerieslafayette,packetai-depl-packetai-packetai-agent-cluster
29,51,23,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-pg-ha-postgresql-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-pg-ha-postgresql
26,51,23,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-hurukai-kafka-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-hurukai-kafka
21,53,23,,6203f3e169c88800129b37d5-galerieslafayette-metric-hurukai-sts-elasticsearch-es-master-stashed,6203f3e169c88800129b37d5,galerieslafayette,hurukai-sts-elasticsearch-es-master
10,54,26,,6203f3e169c88800129b37d5-galerieslafayette-metric-kube-system-depl-local-path-provisioner-stashed,6203f3e169c88800129b37d5,galerieslafayette,kube-system-depl-local-path-provisioner
