Property,topic,Total metrics,Aggregation time,Detection mode
9,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-cronjob-alerting-engines-stashed,0,60,prod
2,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-cronjob-digit-2-stashed,0,60,prod
4,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-cronjob-digit-1-stashed,0,60,prod
12,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-df-etl-manual-input-script-file-deletion-stashed,0,60,prod
20,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-df-cronjobs-unlock-old-files-stashed,0,60,prod
0,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-report-trigger-stashed,0,60,prod
5,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-customer-stashed,0,60,prod
1,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-cronjob-files-detector-stashed,0,60,prod
7,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-cleanup-pipelineruns-stashed,0,60,prod
13,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-cron-df-cronjobs-script-archivist-stashed,0,60,prod
29,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-weather-publisher-stashed,3,60,prod
16,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-custom-scripts-digit-deployments-2-stashed,3,60,prod
18,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-urjanet-publisher-stashed,3,60,prod
27,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-custom-scripts-digit-deployments-1-stashed,3,60,prod
30,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-data-alerting-engines-stashed,3,60,prod
34,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-i-process-continuous-stashed,3,60,prod
39,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-i-process-historic-stashed,3,60,prod
50,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-files-detector-stashed,3,60,prod
35,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-eveler-publisher-stashed,3,60,prod
40,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-i-prod-historic-stashed,3,60,prod
44,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-data-email-notifications-stashed,3,60,prod
17,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-manual-input-manager-stashed,3,60,prod
45,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-data-tracking-service-stashed,3,60,prod
51,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-rte-publisher-stashed,3,60,prod
49,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-i-prod-continuous-stashed,3,60,prod
10,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-sts-eva-redis-master-stashed,23,60,prod
28,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-sts-rabbitmq-stashed,23,60,prod
32,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-sts-influxdb-stashed,23,60,prod
41,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-data-platform-configs-stashed,26,60,prod
37,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-data-bff-alerts-stashed,26,60,prod
25,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-report-worker-stashed,26,60,prod
53,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-ds-cronjob-stashed,26,60,prod
19,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-eva-backend-stashed,26,60,prod
33,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-user-notes-stashed,26,60,prod
23,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-s3-replay-non-ingested-stashed,26,60,prod
47,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-eveler-historic-stashed,26,60,prod
11,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-energylab-back-stashed,26,60,prod
42,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-df-etl-manual-input-stashed,26,60,prod
24,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-mongodb-stashed,26,60,prod
46,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-gifo-stashed,26,60,prod
8,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-too-long-graphdb-lock-stashed,26,60,prod
43,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-loading-ontology-stashed,26,60,prod
36,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-rabbitmq-prometheus-rabbitmq-exporter-stashed,26,60,prod
38,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-weather-historic-stashed,26,60,prod
3,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-agate-stashed,26,60,prod
31,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-graphdb-stashed,26,60,prod
48,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-report-trigger-logger-stashed,26,60,prod
21,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-s3-unlock-locked-files-stashed,26,60,prod
22,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-hypertube-stashed,26,60,prod
26,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-timeserenity-stashed,26,60,prod
14,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-codex-stashed,26,60,prod
15,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-energylab-data-handler-stashed,26,60,prod
6,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-eva-frontend-stashed,26,60,prod
52,620bf00a677f0400825ac851-metronlab-metric-danone-bucharest-depl-el-event-listener-init-site-stashed,26,60,prod
