,_id,topic,levels,Deployed models
0,{'$oid': '61e152263a0e31036bddb034'},60ddc7da72033d00111f4be1-docker-log-pythonpipedrive-service-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
1,{'$oid': '61e152263a0e31036bddb035'},60ddc7da72033d00111f4be1-docker-log-traefiktraefik-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
2,{'$oid': '61e152263a0e31036bddb036'},60ddc7da72033d00111f4be1-docker-log-pythonsdet-service-master-stashed,"[{'filter': 'general', 'shape': 'sparse data with no patterns', 'models': {}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: [] warning: ['HB'] error: ['HB']
3,{'$oid': '61e152263a0e31036bddb037'},60ddc7da72033d00111f4be1-docker-log-dead-letter-cron-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
4,{'$oid': '61e152263a0e31036bddb038'},60ddc7da72033d00111f4be1-docker-log-pythonemail-service-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
5,{'$oid': '61e152263a0e31036bddb039'},60ddc7da72033d00111f4be1-docker-log-pythondead-letter-service-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
6,{'$oid': '61e152263a0e31036bddb03a'},60ddc7da72033d00111f4be1-docker-log-pythonsales-service-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
7,{'$oid': '61e152263a0e31036bddb03b'},60ddc7da72033d00111f4be1-docker-log-dotnet-template-service-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
8,{'$oid': '61e152263a0e31036bddb03c'},60ddc7da72033d00111f4be1-docker-log-pythonauth-service-master-stashed,"[{'filter': 'general', 'shape': 'random noisy data', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}, 'Skyline': {'alpha': 0.7000000000000001, 'median_absolute_deviation_threshold': 6, 'histogram_bins_min_points': 100, 'n_bins': 10, 'n_points': 5, 'max_history_time': 604800, 'threshold': 0.8}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]","general: ['HB', 'Skyline'] warning: ['HB'] error: ['HB']"
9,{'$oid': '61e152263a0e31036bddb03d'},60ddc7da72033d00111f4be1-docker-log-pythonexternal-is-service-master-stashed,"[{'filter': 'general', 'shape': 'usually the same values observed', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'warning', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}, {'filter': 'error', 'shape': 'sparse data with no patterns', 'models': {'HB': {'max_bins': 5, 'alpha': 0.5, 'max_points': 10080, 'warmup_period_in_number_of_points': 10080, 'time_to_reset': 10080, 'avg_level_alpha': 0.6000000000000001, 'avg_level_threshold': 10}}}]",general: ['HB'] warning: ['HB'] error: ['HB']
