Name,Owner,Status
"Architecture Diagram ",Hardik/Hadi,IMP & Easy - Done
"List of all data points we collect and will collect in the future for all tech (logs, metrics, traces) ",Hardik/Marie/Marin,"IMP & Easy - On-going check with Marin for languages (Java, Ruby etc)"
Check the libraries/dependencies called - how many ? Clean up possible ? Brainstorm,Hadi/Tech Team,"IMP - Wednesday Meeting "
"Filter data with Agent ",Hadi/Tech Team,IMP - https://www.elastic.co/guide/en/beats/filebeat/current/filtering-and-enhancing-data.html
"Sudo access - Can we do otherwise ? ",Hadi/Tech Team,https://www.dynatrace.com/news/blog/non-privileged-mode-for-oneagent-on-linux-best-in-class-security-that-doesnt-compromise-functionality/
"Not open source arguments - brainstorm ",All,"IMP and Easy - Inspire from Dynatrace, Instana etc "
Certifs (quick wins if any),"Hardik ",Call with Capgem on 15th Sep
Comms,Hardik/Marie,IMP & Easy. On -going - waiting for wed meeting
Integration with third party aggregators like FluentD (if applicable),Hadi/Tech Team,Explore
"On-Prem/AMI image deployment ",Hadi/Tech Team,"Tough - Looks like a long shot "
"Encrypt at Rest
All of the collected user data and monitoring data is stored as encrypted with AWS KMS system by encryption keys. Also all of the snapshots and backups are encrypted as well at the place where they resides.",,
"Agent Security need to write ",,
"Marin Becky issue - can receive infra keys and anyone can use it to access to data ",Hadi/Tech Team,"Close the open API endpoints or use crypted API keys instead of the infrastructureId "
Map out the infra and list end points,,
,,
