Endpoint,Verb,Tags,Description
/test,GET,deprecated,
/signup,GET,deprecated,
/interaction/:uid,,oidc-interaction,
/infra/:identifier/users,GET,infra,
/infra/:identifier/roles,GET,infra,Get roles from OpenDistro and use Regex to filter out roles from infra. Endpoint available on Becky.
/role/:identifier,GET,"probably-unused, role",Get all roles from OpenDistro. Seems like a duplicata unfinished of /infra/:id/roles. Not used on Becky.
/role/:identifier,DELETE,role,Delete role from OpenDistro. Endpoint available on Becky.
/role/:identifier,PUT,role,Create role on OpenDistro. Endpoint available on Becky.
/user/:userId,PUT,user,Add user on Mongo. Endpoint available on Becky
/user/:identifier,DELETE,user,Find the user from ID on Mongo and deletes it if it exists. Endpoint available on Becky.
/user,POST,user,Create user on Mongo. Endpoint available on Becky.
/interaction/signup,POST,oidc-interaction,
/interaction/:uid/login,POST,oidc-interaction,
/interaction/:uid/confirm,POST,oidc-interaction,
/interaction/:uid/abort,GET,oidc-interaction,
/interaction/:uid/loginDemo,POST,oidc-interaction,
