Verb,Endpoint,i,Swagger plan,Description,Needs precision
GET,/admin/infrastructures,admin,group 1,Returns the list of infrastructures data from database,No
GET,/admin/:infrastructureId/incidentsReport/:incidentsReportFormat/:incidentsReportType,admin,group 1,Returns a report of incidents for an infrastructure in the asked format (csv/xlsx/json),No
GET,/admin/:infrastructureId/anomaliesReport/:anomaliesReportFormat/:anomaliesReportType/:anomaliesReportThreshold,admin,group 1,Returns a report of anomalies for an infrastructure in the asked format (csv/xlsx/json),No
GET,/admin/:infrastructureId/anomalyRegionsReport/:anomalyRegionsReportFormat/:anomalyRegionsReportType/:anomalyRegionsReportThreshold,admin,group 1,Returns a report of anomalies region for an infrastructure in the asked format (csv/xlsx/json,No
GET,/admin/:infrastructureId/feedbackReport/:feedbackReportFormat,admin,group 1,Returns a report of incident feedbacks for an infrastructure in the asked format (csv/xlsx/json),No
GET,/admin/:infrastructureId/groks/:ITComponentSubType/:ITComponentId,admin,group 1,"Returns a grok for a ITComponentId and a ITSubType given. If the grok is not find in database using the ITComponentId, returns the default grok get from the subtype.",No
POST,/admin/:infrastructureId/groks/:ITComponentSubType/:ITComponentId,admin,group 1,"Insert a grok in the database, given from body (ITComponentGroks) and from URL arguments ",No
GET,/health,health,group 1,Returns { status: 'OK' },No
GET,/ITComponent/issuesRootComponent,ITComponent,group 3,Return an ITComponent from the site 'DEMO site' (deprecated),No
GET,/ITComponent/hosts,ITComponent,group 3,Returns a list of ITComponents that are HOST fon an infrastructure,No
GET,/ITComponent/:ITComponentId,ITComponent,group 3,Returns an ITComponent with URLs for dashboards,No
GET,/ITComponent/component/:ITComponentId,ITComponent,group 3,Duplicate of /ITComponent/:ITComponentId,No
GET,/ITComponent/subtype/:ITComponentSubType,ITComponent,group 3,"Returns a list of components for an infra, where the subtype given in URL parameters matches. If the subtype is ""all"", returns all components for the infra. ",No
GET,/ITComponent/rootComponent/:infrastructureId,ITComponent,group 3,Returns the root component for an infrastructure (deprecated),Yes
GET,/menu,menu,group 1,"Returns the menu for Minima depending of the user's roles (admin, regular or demo), and generates part depending of if there is components / AWS / applications / services. Data is from Mongo",No
GET,/v2/menu,"menu, v2",group 1,"Returns the menu for Minima depending of the user's roles (admin, regular or demo), and generates part depending of if there is components / AWS / applications / services. Data is from DGraph",No
POST,/user/init,user,group 2,"Receives users information from body (email, name..), creates a new Infrastructure, insert a new user in database and returns it with infrastructure ID. Also do a post request to IncidentManager (/kafkaConsumer/infraID)",No
POST,/user/,user,group 2,"Receive user informations (email, username..) , post them to Accounts (post /user), and create user to database if doesn't exist",No
GET,/user/:userId,user,group 2,Get user from database using userID and returns email / id / infraID and name if it exists,No
PUT,/user/:userId,user,group 2,"Receives user information from body (email, name...), send put request to Accounts (put /user/:userid), update/create the user in database and returns it",No
PUT,/role/:roleName,role,group 2,"Use roleName parameter, and send request to Accounts service to add a new role. Request is allowed only if the current user is a 'regular'",No
