Service,Per tenant,Open to Internet,Security Risks,Mitigation
Minima,It's already possible to display per tenant topology etc.,Yes,"Check for csrf attacks, and other general vulnerabilities ",
Becky,It's already possible to display per tenant,Yes,Make sure for each request authenticated user and infraid/components in the requests belongs to that user only.,
Mongodb,It's already handled per tenant,No,"Not exposed to public directly, security risks might come from other services at packetai",
Process,It's already handled per tenant,No,no security risks,
Topology,It's already handled per tenant,No,no security risks,
Activator,It's already handled per tenant,No,no security risks,
Techno,It's already handled per tenant,No,no security risks,
Incident-manager,It's already handled per tenant,No,no security risks,
ingestservice,It's already handled per tenant,Yes,We need to add token authentication,
Accounts,It's already handled per tenant,Yes,Exposed to public,
lco,It's already handled per tenant,No,no security risks,
postgres,It's already handled per tenant,No,no security risks,
opendistro-ES,It's already handled per tenant,No,Not exposed to public. Access to ES is through Kibana. We need to make sure that each tenant can access only his indexes and not the others,
opendistro-Kibana,It's already handled per tenant,Yes,Access to dashboards and ES indexes and alerts needs to verify throughly.,
logstash,It's already handled per tenant,No,no security risks,
MAD,It's already handled per tenant,No,no security risks,
LAD,It's already handled per tenant,No,no security risks,
Kafka,"Although we are writing the data to different kafka topics, it's possible that certain config can be overwritten by user",Yes,Exposed to public. It's possible to read other tenants data,Don't expose Kafka to Pubic
,,,,
