Component,Source,Docs 01-15/09,Logs,Patterns,"Groks ",Comment,Tags
lswkpm32-dmz-depl-finance_kpmg_prod,,3435785,YES,YES,DONE,,
lswkpm33-dmz-depl-report_kpmg_prod,,2070723,YES,YES,DONE,,
lswkpm32-dmz-depl-job_kpmg_prod-server,,96301,YES,NO,DONE,16/09 11:00 - Will be OK as soon as we get new data,
lswkpm33-dmz-depl-microsoft,,62107,YES,YES,DONE,16/09 11:00 - LP back since 11:30,
lswkpm33-dmz-depl-report_kpmg_prod-server,,47527,YES,YES,DONE,,
lswkpm32-dmz-depl-microsoft,,23119,YES,YES,,Seems a double of the one above ?,
lswkpm32-dmz-depl-schannel,,15888,YES,YES,DONE,,
lswkpm32-dmz-depl-job_kpmg_prod,,14941,YES,YES,TODO,No logs on kafka,
lswkpm51.lswekpmg.priv-depl-microsoft,,13486,YES,YES,DONE,,
lswkpm51.lswekpmg.priv-depl-service_control_manager,,11134,YES,YES,DONE,16/09 11:00 - LP back since 11:30,
lswkpm51.lswekpmg.priv-depl-mssqlserver,,9043,YES,YES,DONE,,
lswkpm33-dmz-depl-schannel,,8481,YES,YES,DONE,,
lswkpm51.lswekpmg.priv-depl-vmstatsprovider,,7481,YES,YES,DONE,,
lswkpm32-dmz-depl-powershell,,5752,YES,YES,DONE,,
lswkpm32-dmz-depl-service_control_manager,,4938,YES,YES,DONE,,
lswkpm33-dmz-depl-service_control_manager,,4400,YES,YES,TODO,"I see logs on kafka, but am not able to read them. Investigating

@Sebastien Gilles are you sure about the patterns here ?",
lswkpm33-dmz-depl-businessobjects_jobserverchild,,2950,YES,YES,DONE,,
lswkpm51.lswekpmg.priv-depl-schannel,,2850,YES,YES,DONE,,
lswkpm32-dmz-depl-vmstatsprovider,,2642,YES,YES,DONE,,
lswkpm33-dmz-depl-vmstatsprovider,,2638,YES,YES,DONE,,
lswkpm33-dmz-depl-powershell,,1177,YES,NO,TODO,Empty topic on kafka,
lswkpm33-dmz-depl-server_intelligence_agent,,950,YES,NO,TODO,Empty topic on kafka,
lswkpm51.lswekpmg.priv-depl-powershell,,410,YES,NO,TODO,"I see logs on kafka, but am not able to read them",
lswkpm33-dmz-depl-businessobjects_cms,,228,YES,NO,TODO,"I see logs on kafka, but am not able to read them",
lswkpm33-dmz-depl-businessobjects_jobserver,,144,YES,NO,TODO,"I see logs on kafka, but am not able to read them",
lswkpm33-dmz-depl-businessobjects_fileserver,,92,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-businessobjects_crproc,,91,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-businessobjects_aps,,90,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-gupdate,WinLogBeat,69,NO,NO,TODO,no message field,
lswkpm33-dmz-depl-businessobjects_eventserver,,60,YES,NO,TODO,No logs on kafka,
lswkpm32-dmz-depl-desktop_window_manager,,59,YES,NO,TODO,Not able to read logs,
lswkpm32-dmz-depl-symantec_antivirus,,52,YES,YES,TODO,,
lswkpm33-dmz-depl-businessobjects_connectionserver,,45,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-businessobjects_connectionserver32,,45,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-businessobjects_crcache,,45,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-businessobjects_crystalras,,45,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-symantec_antivirus,,37,YES,YES,,Not able to read logs,
lswkpm51.lswekpmg.priv-depl-symantec_antivirus,,37,YES,NO,TODO,Not able to read logs,
lswkpm33-dmz-depl-businessobjects_wacs,,30,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-firefox_default_browser_agent,,28,NO,NO,TODO,Not able to read logs,
lswkpm51.lswekpmg.priv-depl-desktop_window_manager,,25,YES,NO,TODO,No logs on kafka,
lswkpm32-dmz-depl-eventlog,,22,YES,NO,,No logs on kafka,
lswkpm51.lswekpmg.priv-depl-scecli,,20,YES,NO,TODO,No logs on kafka,
lswkpm33-dmz-depl-eventlog,,14,YES,NO,,,
lswkpm51.lswekpmg.priv-depl-eventlog,,14,YES,NO,,,
lswkpm32-dmz-depl-esent,,12,YES,NO,,,
lswkpm51.lswekpmg.priv-depl-sqlispackage130,,12,YES,NO,,,
lswkpm51.lswekpmg.priv-depl-sqlserveragent,,12,YES,NO,,,
lswkpm32-dmz-depl-vmupgradehelper,,8,YES,NO,,,
lswkpm33-dmz-depl-desktop_window_manager,,8,YES,NO,,,
lswkpm51.lswekpmg.priv-depl-windows_error_reporting,,7,YES,NO,,,
lswkpm33-dmz-depl-msiinstaller,,6,YES,NO,,,
lswkpm32-dmz-depl-symantec_endpoint_protection,,5,YES,NO,,,
lswkpm32-dmz-depl-vmtools,,4,YES,NO,,,
lswkpm32-dmz-depl-tcpip,,3,YES,NO,,,
lswkpm32-dmz-depl-lfsvc,,2,YES,NO,,,
lswkpm32-dmz-depl-srtsp,,2,YES,NO,,,
lswkpm32-dmz-depl-user32,,2,YES,NO,,,
lswkpm32-dmz-depl-vmci,,2,YES,NO,,,
lswkpm32-dmz-depl-vss,,2,YES,NO,,,
lswkpm32-dmz-depl-windows_error_reporting,,2,YES,NO,,,
lswkpm33-dmz-depl-windows_error_reporting,,2,YES,NO,,,
lswkpm32-dmz-depl-application_popup,,1,YES,NO,,,
lswkpm32-dmz-depl-srv,,1,YES,NO,,,
lswkpm33-dmz-depl-application_error,,1,YES,NO,,,
lswkpm51.lswekpmg.priv-depl-esent,,1,YES,NO,,,
