Services,Topic,Risks,Mitigations/Solutions,Constraints/blockers,Rough estimate in days (To be filled later),notes
Process,How to process 100s hosts process ?,None,Scale the process service,,,
"Minima ",Component based topology (or alternative),,,,10,
"Minima ",Server side pagination of all tables,,,," 5",
"Minima ",Stats page for incidents/anomalies (not crucial),,,," 5",
Becky,Check for slow queries,,,,1,
ELK,"Reduce indexed data from the current 10x ",,,,20,
"Backend ",,,,,,
Agent,,,,Needs to refactor our agent. Needs to test our Kafka constraints,20,
Kafka,How to handle 1000s connections from agents ?,,,Remove kafka exposure to Agent,20,
"Topology ",How do we build our topology if there are 100/200 hosts ?,,,,15,
ElasticSearch,How many logs/metrics can we support ?,,,It's easy to add more(bigger)  nodes. However we need to find the right balance and observe the ES cluster.,10,
,,,,,,
