detectionITComponentId,startDate,Comment,start,end,detectionAnomalyType,infrastructure
argo-events-depl-mad-kafka-eventsource-mt26q,"August 15, 2022 6:40 PM (GMT)",,1660588830000,1660588830000,kubernetes#deployment#replicas#available-no_subject,628673bb0c7d0000d0dae3ec
argo-events-depl-mad-kafka-eventsource-mt26q,"August 15, 2022 5:27 PM (GMT)",,1660584450000,1660584460000,kubernetes#deployment#replicas#available-no_subject,628673bb0c7d0000d0dae3ec
argo-events-depl-mlanomalies-backup,"August 22, 2022 10:12 PM (GMT)",,1661206350000,1661318880000,kubernetes#container#rootfs#used#bytes-no_subject,62a9ed185b54ce0013c37d66
argo-events-depl-mlanomalies-backup,"August 24, 2022 4:26 AM (GMT)",,1661315200000,1661318880000,kubernetes#container#memory#pagefaults-no_subject,62a9ed185b54ce0013c37d66
argo-events-depl-raw-backup,"August 25, 2022 7:20 AM (GMT)",After analyzing data downloaded from S3 we can see that the issue was caused by the LAD aggregation logic since the logs were missing the order,1661412000000,1661412000000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-depl-raw-backup,"August 15, 2022 9:42 PM (GMT)",,1660599750000,1660599750000,kubernetes#deployment#replicas#available-no_subject,628673bb0c7d0000d0dae3ec
argo-events-depl-raw-backup,"August 14, 2022 8:50 PM (GMT)",,1660510230000,1660510230000,kubernetes#deployment#replicas#available-no_subject,628673bb0c7d0000d0dae3ec
argo-events-depl-raw-backup,"August 7, 2022 11:37 PM (GMT)",No data,1659915420000,1659915420000,warning log frequency,62a9ed185b54ce0013c37d66
argo-events-depl-raw-backup,"August 15, 2022 12:47 PM (GMT)",,1660567650000,1660567650000,kubernetes#deployment#replicas#available-no_subject,628673bb0c7d0000d0dae3ec
argo-events-depl-resource-patch-lad,"August 16, 2022 1:09 AM (GMT)",,1660612150000,1660612150000,kubernetes#pod#memory#usage#node#pct-no_subject,62a9ed185b54ce0013c37d66
argo-events-depl-resource-patch-lad,"August 19, 2022 9:47 PM (GMT)",,1660945660000,1660945660000,kubernetes#container#rootfs#used#bytes-no_subject,62a9ed185b54ce0013c37d66
argo-events-depl-resource-patch-lad,"August 28, 2022 11:43 AM (GMT)",,1661687000000,1661687060000,kubernetes#container#rootfs#available#bytes-no_subject,62a9ed185b54ce0013c37d66
argo-events-depl-resource-patch-lad,"August 14, 2022 9:15 PM (GMT)",,1660511710000,1660511710000,kubernetes#container#rootfs#used#bytes-no_subject,62a9ed185b54ce0013c37d66
