KPI,Aggreg type,Period(s),SAM,AD scale,Comment,Pertinent Alerting rules
mysql.status.questions,,D,yes,1H,,"up anomaly → warning
down anomaly → alert "
mysql.status.aborted.connects,,none,,,,
mysql.status.connection.errors.accept,,none,,,"rare value metric ",
mysql.status.connection.errors.internal,,none,,,"rare value metric ",
mysql.status.connection.errors.max,,none,,,"rare value metric ",
mysql.status.connection.errors.select,,none,,,"rare value metric ",
mysql.performance.events_statements.max.timer.wait,,none,,,,
mysql.performance.events_statements.quantile.95,,none,,,,
mysql.performance.events_statements.count.star,,none,,,,
mysql.performance.events_statements.avg.timer.wait,,none,,,,
mysql.status.threads.connected,Avg,8 D,yes,1H,"not seasonal but exhibits a peak every 8 days ","up anomaly → alert
down anomaly → warning "
mysql.performance.table_io_waits.count.fetch,,none,,,"trendy metric ",
mysql.status.cache.table.open_cache.hits,max,D,yes,1H,,"up anomaly → alert
down anomaly → warning "
mysql.status.opened_tables,Avg,D,yes,1H,,"up anomaly → alert
down anomaly → warning "
,,,,,,
