KPI,Aggregation operator,Period,SAM,AD scale,Pertinent Alerting rules
rabbitmq.exchange.messages.publish_in.count,,none,,,
rabbitmq.exchange.messages.publish_in.details.rate,,none,,,
rabbitmq.exchange.messages.publish_out.count,,"15min, D",yes,"1h, 5min",
rabbitmq.exchange.messages.publish_out.details.rate,,none,,,
rabbitmq.node.fd.used,,none,,,
rabbitmq.node.socket.used,,none,,,
rabbitmq.queue.consumers.count,,none,,,
rabbitmq.queue.consumers.count,,none,,,
rabbitmq.queue.messages.ready.count,,D,yes,1h,
,,,,,
