name,info,warning,critical,type
kube_cpu_info_multi_limit_rule_3,info|if (kubernetes#pod#cpu_abs_change_pct <= 0.1),,,kube
kube_cpu_info_multi_limit_rule_4,info|if (kubernetes#container#cpu_abs_change_pct <= 0.1),,,kube
kube_cpu_warning_multi_limit_rule_1,,warning|if (kubernetes#pod#cpu_abs_change_pct > 0.1) and (kubernetes#pod#cpu_min_pct > 0.2),,kube
kube_cpu_warning_multi_limit_rule_2,,warning|if (kubernetes#container#cpu_abs_change_pct > 0.1) and (kubernetes#container#cpu_min_pct > 0.2),,kube
kube_major_page_faults_rule_1,info| -inf <= major_page_faults_abs_change_ <= 1000.0,warning| 1000.0 <= major_page_faults_abs_change_ <= 6000.0,critical| 6000.0 <= major_page_faults_abs_change_ <= +inf,kube
kube_major_page_faults_rule_2,info| -inf <= majorpagefaults_abs_change_ <= 1000.0,warning| 1000.0 <= majorpagefaults_abs_change_ <= 6000.0,critical| 6000.0 <= majorpagefaults_abs_change_ <= +inf,kube
kube_network_info_id_limit_rule_1,info|if (duration <= 61) and (network#tx#bytes > 0.5),,,kube
kube_network_info_id_limit_rule_2,info|if (duration <= 61) and (network#rx#bytes > 0.5),,,kube
kube_network_warning_id_limit_rule_1,,warning|if (network#rx_abs_change_bytes > 100000000000) and (network#rx#bytes > 0.5),,kube
kube_network_warning_id_limit_rule_2,,warning|if (network#tx_abs_change_bytes > 100000000000) and (network#tx#bytes > 0.5),,kube
kube_page_faults_rule_1,info| -inf <= #page_faults_abs_change_ <= 500000.0,warning| 500000.0 <= #page_faults_abs_change_ <= 140000000.0,critical| 140000000.0 <= #page_faults_abs_change_ <= +inf,kube
kube_page_faults_rule_2,info| -inf <= #pagefaults_abs_change_ <= 500000.0,warning| 500000.0 <= #pagefaults_abs_change_ <= 140000000.0,critical| 140000000.0 <= #pagefaults_abs_change_ <= +inf,kube
kube_replicas_unavailable_critical_id_limit_rule_1,,,critical|if (replicas#unavailable > 0.5) and (duration > 300),kube
kube_replicas_unavailable_warning_id_rule_1,,warning|if (replicas#unavailable > 0.5),,kube
lf_critical_id_limit_rule_4,,,critical|if (log frequency > 0.5) and (replicas#unavailable_abs_change_ > 0) and (duration > 300),log frequency
lf_info_id_limit_rule_1,info|if (log frequency > 0.5) and (duration <= 300),,,log frequency
lf_warning_id_limit_rule_2,,warning|if (log frequency > 0.5) and (duration > 300),,log frequency
