EventId,EventTemplate,Occurrences
de6855b5,accepting AMQP connection < PID > ( IPPORT - > IPPORT ),1094226
dc535934,connection < PID > ( IPPORT - > IPPORT ) : user <*> ' authenticated and granted access to vhost 'PATH ',1094224
e6d3975e,"closing AMQP connection < PID > ( IPPORT - > IPPORT , vhost : 'PATH ' , user : <*> ' ) :",33584
5f0b539e,client unexpectedly closed TCP connection,33586
bceef866,"closing AMQP connection < PID > ( IPPORT - > IPPORT , vhost : 'PATH ' , user : <*> ' )",1052460
c720c987,closing AMQP connection < PID > ( IPPORT - > IPPORT ) :,8178
a43e57eb,"missed heartbeats from client , timeout : 60s",8178
e1127aef,"Supervisor { < PID > , rabbit_channel_sup_sup } had child channel_sup started with rabbit_channel_sup : start_link ( ) at undefined exit with reason <*> in context shutdown_error",248
99b96e99,"Supervisor { < PID > , rabbit_channel_sup } had child channel started with rabbit_channel : start_link ( NUM , < PID > , < PID > , < PID > , < < `` IPPORT - > IPPORT '' > > , rabbit_framing_amqp_NUM_NUM_NUM , { user , < < `` gaia '' > > , [ ] , [ { rabbit_auth_backend_internal , none } ] } , < < `` PATH '' > > , [ { < < `` authentication_failure_close '' > > , bool , true } , { < < `` publisher_confirms '' > > , bool , true } , { < < `` consumer ... '' > > , ... } , ... ] , < PID > , < PID > ) at < PID > exit with reason noproc in context shutdown_error",296
bf120aa6,"Supervisor { < PID > , rabbit_connection_helper_sup } had child heartbeat_sender started with rabbit_heartbeat : start_heartbeat_sender ( # Port < HTTP > , NUM , # Fun < HTTP > , { heartbeat_sender , < < `` IPPORT - > IPPORT '' > > } ) at < PID > exit with reason noproc in context shutdown_error",22
3fd067f0,HTTP access denied : user 'EMAIL ' - invalid credentials,4
c146c81f,"Supervisor { < PID > , rabbit_channel_sup } had child channel started with rabbit_channel : start_link ( NUM , < PID > , < PID > , < PID > , < < `` IPPORT - > IPPORT '' > > , rabbit_framing_amqp_NUM_NUM_NUM , { user , < < `` post-processing '' > > , [ ] , [ { rabbit_auth_backend_internal , none } ] } , < < `` PATH '' > > , [ { < < `` authentication_failure_close '' > > , bool , true } , { < < `` HTTP '' > > , bool , true } , { < < `` HTTP '' > > , ... } , ... ] , < PID > , < PID > ) at < PID > exit with reason noproc in context shutdown_error",2
