EventId,EventTemplate,Occurrences
bf8b9f05,accepting AMQP connection < <*> > ( <*> - > <*> ),1094226
b1945464,connection < <*> > ( <*> - > <*> ) : user <*> ' authenticated and granted access to vhost '/ ',1094224
4dc3b6b9,"closing AMQP connection < <*> > ( <*> - > 10.0.9.28:5672 , vhost : '/ ' , user : <*> ' ) :",33584
5f0b539e,client unexpectedly closed TCP connection,33586
130b8e9d,"closing AMQP connection < <*> > ( <*> - > <*> , vhost : '/ ' , user : <*> ' )",1052460
3ebac2e3,closing AMQP connection < <*> > ( <*> - > 10.0.9.28:5672 ) :,8178
a43e57eb,"missed heartbeats from client , timeout : 60s",8178
57c28488,"Supervisor { < <*> > , rabbit_channel_sup_sup } had child channel_sup started with rabbit_channel_sup : start_link ( ) at undefined exit with reason <*> in context shutdown_error",248
48cd456e,"Supervisor { < <*> > , rabbit_channel_sup } had child channel started with rabbit_channel : start_link ( 1 , < <*> > , < <*> > , < <*> > , < < `` <*> - > <*> '' > > , rabbit_framing_amqp_0_9_1 , { user , < < `` <*> '' > > , [ ] , [ { rabbit_auth_backend_internal , none } ] } , < < `` / '' > > , [ { < < `` authentication_failure_close '' > > , bool , true } , { < < `` <*> '' > > , bool , true } , { < < `` <*> ... '' > > , ... } , ... ] , < <*> > , < <*> > ) at < <*> > exit with reason noproc in context shutdown_error",298
23115924,"Supervisor { < <*> > , rabbit_connection_helper_sup } had child heartbeat_sender started with rabbit_heartbeat : start_heartbeat_sender ( # Port < <*> > , 60 , # Fun < rabbit_reader.5.85199549 > , { heartbeat_sender , < < `` <*> - > 10.0.9.28:5672 '' > > } ) at < <*> > exit with reason noproc in context shutdown_error",22
02bb1858,HTTP access denied : user 'juliette.gorline @ affluences.com ' - invalid credentials,4
