EventTemplate,Occurrences
"accepting AMQP connection <PID> (IP:NUM -> IP:NUM) ",391770
"connection <PID> (IP:NUM -> IP:NUM): user 'koios' authenticated and granted access to vhost '/' ",3498
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: 'koios'): ",485
"client unexpectedly closed TCP connection ",12475
"connection <PID> (IP:NUM -> IP:NUM): user 'post-processing' authenticated and granted access to vhost '/' ",13870
"connection <PID> (IP:NUM -> IP:NUM): user 'gaia' authenticated and granted access to vhost '/' ",374400
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: 'gaia') ",374400
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: 'post-processing'): ",11989
"closing AMQP connection <PID> (IP:NUM -> IP:NUM): ",2936
"missed heartbeats from client timeout: 60s ",2936
"Supervisor {<PID>rabbit_channel_sup_sup} had child channel_sup started with rabbit_channel_sup:start_link() at undefined exit with reason noproc in context shutdown_error ",24
"Supervisor {<PID>rabbit_channel_sup} had child channel started with rabbit_channel:start_link(NUM <PID> <PID> <PID> <<""IP:NUM -> IP:NUM"">> rabbit_framing_amqp_NUM_NUM_NUM {user<<""gaia"">>[][{rabbit_auth_backend_internalnone}]} <<""/"">> [{<<""authentication_failure_close"">>booltrue}{<<""publisher_confirms"">>booltrue}{<<""consumer..."">>...}...] <PID> <PID>) at <PID> exit with reason noproc in context shutdown_error ",96
"Supervisor {<PID>rabbit_channel_sup_sup} had child channel_sup started with rabbit_channel_sup:start_link() at undefined exit with reason shutdown in context shutdown_error ",75
"<*> <*> had child <*> started with <*> <*> <*> <*> <*> <*> at <PID> exit with reason noproc in context shutdown_error ",8
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: 'koios') ",133
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: <*> ",1
"connection <PID> (IP:NUM -> IP:NUM): user <*> authenticated and granted access to vhost '/' ",1
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: 'post-processing') ",1824
"<*> <*> <*> <*> <*> <*> <*> <*> ",2
