EventTemplate,Occurrences
"accepting AMQP connection <PID> (IP:NUM -> IP:NUM) ",391770
"connection <PID> (IP:NUM -> IP:NUM): user <*> authenticated and granted access to vhost '/' ",3499
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: <*> ",14432
"<*> <*> <*> <*> <*> ",12475
"connection <PID> (IP:NUM -> IP:NUM): user 'post-processing' authenticated and granted access to vhost '/' ",13870
"connection <PID> (IP:NUM -> IP:NUM): user 'gaia' authenticated and granted access to vhost '/' ",374400
"closing AMQP connection <PID> (IP:NUM -> IP:NUM vhost: '/' user: 'gaia') ",374400
"closing AMQP connection <PID> (IP:NUM -> IP:NUM): ",2936
"<*> <*> <*> <*> <*> <*> ",2936
"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ",99
"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ",96
"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ",8
"<*> <*> <*> <*> <*> <*> <*> <*> ",2
