EventTemplate,Occurrences
"accepting AMQP connection <*> <*> -> 10.0.9.28:5672) ",24437
"<*> <*> <*> -> 10.0.9.28:5672): user 'koios' authenticated and granted access to vhost '/' ",3365
"closing AMQP connection <*> <*> -> 10.0.9.28:5672 vhost: '/' user: 'koios'): ",485
"client unexpectedly closed TCP connection ",12475
"<*> <*> <*> -> 10.0.9.28:5672): user 'post-processing' authenticated and granted access to vhost '/' ",13870
"<*> <*> <*> -> 10.0.9.28:5672): user 'gaia' authenticated and granted access to vhost '/' ",7200
"accepting AMQP connection <*> <*> -> 10.0.11.23:5672) ",367333
"<*> <*> <*> -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ",367200
"closing AMQP connection <*> <*> -> 10.0.9.28:5672 vhost: '/' user: 'gaia') ",7200
"closing AMQP connection <*> <*> -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ",367200
"closing AMQP connection <*> <*> -> 10.0.9.28:5672 vhost: '/' user: 'post-processing'): ",11989
"closing AMQP connection <*> <*> -> 10.0.9.28:5672): ",2936
"missed heartbeats from client timeout: 60s ",2936
"<*> <*> had child channel_sup started with rabbit_channel_sup:start_link() at undefined exit with reason noproc in context shutdown_error ",24
"<*> <*> had child channel started with <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> exit with reason noproc in context shutdown_error ",96
"<*> <*> had child channel_sup started with rabbit_channel_sup:start_link() at undefined exit with reason <*> in context shutdown_error ",75
"<*> <*> had child <*> started with <*> <*> <*> <*> <*> <*> <*> <*> exit with reason noproc in context shutdown_error ",8
"closing AMQP connection <*> <*> -> 10.0.11.23:5672 vhost: '/' user: 'koios') ",133
"<*> <*> <*> -> 10.0.11.23:5672): user 'koios' authenticated and granted access to vhost '/' ",133
"closing AMQP connection <*> <*> -> 10.0.9.28:5672 vhost: '/' user: <*> ",1
"<*> <*> <*> -> 10.0.9.28:5672): user <*> authenticated and granted access to vhost '/' ",1
"closing AMQP connection <*> <*> -> 10.0.9.28:5672 vhost: '/' user: 'post-processing') ",1824
"<*> <*> <*> <*> <*> <*> <*> <*> ",2
