EventTemplate,Occurrences
"connection < PID > ( IPPORT - > IPPORT ) : user <*> ' authenticated and granted access to vhost 'PATH ' ",391891
"closing AMQP connection < PID > ( IPPORT - > IPPORT  vhost : 'PATH '  user : <*> ' ) ",376877
"accepting AMQP connection < PID > ( IPPORT - > IPPORT ) ",391973
"closing AMQP connection < PID > ( IPPORT - > IPPORT  vhost : 'PATH '  user : <*> ' ) : ",12060
"<*> <*> <*> <*> <*> ",12013
"<*> <*> <*> <*> <*> <*> <*> <*> ",2954
"closing AMQP connection < PID > ( IPPORT - > IPPORT ) : ",2946
"<*> <*> < PID > <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> ",86
"<*> <*> < PID > <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> < PID > <*> < PID > <*> < PID > <*> <*> <*> <*> IPPORT - > IPPORT <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> < PID > <*> < PID > <*> <*> < PID > <*> <*> <*> <*> <*> <*> <*> ",110
"<*> <*> < PID > <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> IPPORT - > IPPORT <*> <*> <*> <*> <*> <*> < PID > <*> <*> <*> <*> <*> <*> <*> ",10
"<*> <*> < PID > <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> < PID > <*> < PID > <*> < PID > <*> <*> <*> <*> IPPORT - > IPPORT <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> < PID > <*> < PID > <*> <*> < PID > <*> <*> <*> <*> <*> <*> <*> ",2
"<*> <*> <*> : user <*> <*> <*> <*> <*> ",1
