EventTemplate,Occurrences
accepting AMQP connection <*> <*> -> 10.0.9.28:5672) ,24377
<*> <*> <*> -> 10.0.9.28:5672): user 'koios' authenticated and granted access to vhost '/' ,3365
closing AMQP connection <*> <*> -> 10.0.9.28:5672 vhost: '/' user: 'koios'): ,485
client unexpectedly closed TCP connection ,12475
<*> <*> <*> -> 10.0.9.28:5672): user 'post-processing' authenticated and granted access to vhost '/' ,13820
<*> <*> <*> -> 10.0.9.28:5672): user 'gaia' authenticated and granted access to vhost '/' ,7190
accepting AMQP connection <*> (10.0.11.208:58094 -> 10.0.11.23:5672) ,15
accepting AMQP connection <*> (10.0.11.197:45332 -> 10.0.11.23:5672) ,11
<*> <*> (10.0.11.208:58094 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
<*> <*> (10.0.11.197:45332 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,11
closing AMQP connection <*> <*> -> 10.0.9.28:5672 vhost: '/' user: 'gaia') ,7190
closing AMQP connection <*> (10.0.11.208:58094 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,15
accepting AMQP connection <*> (10.0.11.208:58100 -> 10.0.11.23:5672) ,7
<*> <*> (10.0.11.208:58100 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,7
closing AMQP connection <*> (10.0.11.208:58100 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,7
accepting AMQP connection <*> (10.0.11.208:58116 -> 10.0.11.23:5672) ,10
<*> <*> (10.0.11.208:58116 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,10
closing AMQP connection <*> (10.0.11.208:58116 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,10
accepting AMQP connection <*> (10.0.11.208:58126 -> 10.0.11.23:5672) ,9
closing AMQP connection <*> (10.0.11.197:45332 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,11
<*> <*> (10.0.11.208:58126 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,9
accepting AMQP connection <*> (10.0.11.197:45352 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.197:45352 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:58126 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,9
accepting AMQP connection <*> (10.0.11.208:58130 -> 10.0.11.23:5672) ,16
