Project name,Description,Related to,Last updated,Documentation Link,GitHub Link,Data Format,Contact Person,Comment
MAD,"Metric anomaly detection ",MAD,"April 20, 2023",https://www.notion.so/packetai/Metrics-MAD-94e8aac9675847f39c1b942c2ab25594?pvs=4,https://github.com/PacketAI/code/tree/dev/ml/mad,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#0bab8bcf16704557a08bf1527c22f17f,Valentin Lapparov,
Alerting Module,The goal of Alerting Manager is to assign a label to the detected incident,"Alerting Manager, Incident Manager","April 20, 2023",https://www.notion.so/packetai/Alerting-Manager-AM-27ba3bdfcba041aaa773ecfaa0ccb338?pvs=4,https://github.com/PacketAI/code/tree/dev/ml/alerting_module,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#56c71c3c045e49cdb5919e80833119e2,Valentin Lapparov,
Anomaly Qualification,Service to filter different ML anomalies and transform data format for downstream service,"MAD, logfrequency, novelty qualifier","April 18, 2023",https://www.notion.so/packetai/8525087cd5cb440eba8565cac6b89e72?v=02b8ded59fdc4249b51532c4805a5445&p=42e2cee572f444b29d6266fc82600355&pm=s,https://github.com/PacketAI/code/tree/dev/ml/anomaly_qualification,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#aadc7003ccac4cdd9fa44e8bb15a7715,dengke li,
Conan,The purpose of this service is to find stackoverflow answers for packetai log templates,,"April 18, 2023",https://www.notion.so/packetai/Conan-Natural-language-RCA-cb880b2691e44653936000e28ef8bc9e,https://github.com/PacketAI/code/tree/dev/ml/conan,,dengke li,
Backup Service,Backups data from a Kafka cluster to S3 by one hour window,Backup,"April 24, 2023",https://www.notion.so/packetai/Backup-documentation-72b17c735932469baed69360cf16ef01,https://github.com/PacketAI/code/tree/dev/ml/backup,,"karim alami, dengke li",
Grok Wizard,The goal of Grok Wizard is to allow user manage groks,groks,"April 20, 2023",https://www.notion.so/packetai/Grok-Wizard-f0cf5184eb4b437d89bc0258ed0898c4?pvs=4,https://github.com/PacketAI/code/tree/dev/ml/grok_wizard,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#0f2ded473121414a99b362e26d67ccaf,"Valentin Lapparov, Marwen Sallem",
Incident Manager,Service to group qualified ML anomalies to generate incidents,"Incident Manager, Logpatterns, MAD, logfrequency, novelty, novelty qualifier","April 24, 2023",https://www.notion.so/packetai/Incident-Manager-623e1da9c1e84d31be211e881d8107d0,https://github.com/PacketAI/code/tree/dev/ml/incident_manager,,"karim alami, dengke li",
iSQUAD,Describe root cause of new anomalies based on historical anomalies,ISquad,,https://www.notion.so/packetai/RCA-iSQUAD-project-95190a6afd9c4fcaafe33835c3f08e79,https://github.com/PacketAI/code/tree/dev/ml/isquad,,karim alami,
Log Frequency,Anomaly detection in log counts,logfrequency,"April 20, 2023",https://www.notion.so/packetai/Design-531e45163afb47bcad44bbd451c47cf1?pvs=4#341df94cf9664d44a4bafef3dfec22e8,https://github.com/PacketAI/code/tree/dev/ml/logfrequency,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#8927e923e5e24da4899605dbe4ff7152,"Valentin Lapparov, karim alami, dengke li","Add README to GitHub describing the launch process and all necessary steps to run the pipeline, add expected data formats and think about creating a separate Notion page for logfrequency where we describe all actors @dengke li @karim alami @Valentin Lapparov  "
Log Health Feature,"This service estimates the hygiene of a given log series: high size, PII, etc..",Logpatterns,"April 13, 2023",https://www.notion.so/packetai/8b274c8ad13f4311baaf20b79d08ef08?v=02f3f7e9f3614e3daa10ccf6a24fed67&p=7b5daefa94ec4aecb6f5ba344905886d&pm=s,https://github.com/PacketAI/code/tree/dev/ml/lhf,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7#bcaab758d51f48f6901eaed5fadbe35e,Marwen Sallem,
Logpatterns,Logpatterns is the service that applies https://www.notion.so/7dad6ee270174ba38e2e6aef834ed270?pvs=21 on a high throughput of logs,"Logpatterns, groks","April 13, 2023",https://www.notion.so/packetai/8b274c8ad13f4311baaf20b79d08ef08?v=02f3f7e9f3614e3daa10ccf6a24fed67&p=8e82387209df45568b206f49693f0bf7&pm=s,https://github.com/PacketAI/code/tree/dev/ml/logpatterns,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#f521d8673d174340b0dfdce94634f9e8,"Marwen Sallem, dengke li",
Log Patterns Drift,The goal of LPD is to detect drift in log patterns count,"Logpatterns, groks","April 20, 2023",https://www.notion.so/packetai/Design-531e45163afb47bcad44bbd451c47cf1?pvs=4#fd808dd030b14637a80eb6017b625f8e,https://github.com/PacketAI/code/tree/dev/ml/lpd,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#05176c94ae9b4240b59d49d968d9c8b9,Valentin Lapparov,
ML Monitor,,ML monitor,,,https://github.com/PacketAI/code/tree/dev/ml/monitor,,"dengke li, karim alami",
Novelty Qualifier,"Novelty Qualifier detects novel templates that has never been seen before, or if they haven't been seen for the last X days","Anomaly Qualification, Logpatterns","April 13, 2023",https://www.notion.so/packetai/8b274c8ad13f4311baaf20b79d08ef08?v=02f3f7e9f3614e3daa10ccf6a24fed67&p=bae5fda9f0524d80b05b675b5667a00a&pm=s,https://github.com/PacketAI/code/tree/dev/ml/novelty_qualifier,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#1238fcfdbbec433488830e8620055ec6,Marwen Sallem,
Sampler,"The objective of the Sampler function is to use a strategy algorithm to select a subset of data from a Kafka topic, and send them back to another kafka topic",Logpatterns,"April 13, 2023",https://www.notion.so/packetai/8b274c8ad13f4311baaf20b79d08ef08?v=02f3f7e9f3614e3daa10ccf6a24fed67&p=c740c765ef4f41fa8ff6f0cf2b23393c&pm=s,https://github.com/PacketAI/code/tree/dev/ml/sampler,https://www.notion.so/packetai/ML-required-input-and-output-format-6c4bcddab6824b32baa1bea3300c18e7?pvs=4#570aa78f568e4a97a93fa134fd810c9e,Marwen Sallem,
Metric data aggregation,"Documents related to metric data processing ",MAD,"April 19, 2023",https://www.notion.so/packetai/Knowledge-related-to-data-processing-aggregation-preprocessing-096033094c9a45d9aea47b75f768d939?pvs=4,https://github.com/PacketAI/code/blob/dev/ml/mad/src/utils/container_aggregation.py,,Valentin Lapparov,
Optimal weights,"Optimal weights used to compose the weighted anomaly score in MAD ",MAD,"April 19, 2023",https://www.notion.so/packetai/Optimal-weights-43237899069b4513ad2d368d8e761764?pvs=4,https://github.com/PacketAI/code/blob/1f5184f88ebea71ce319794c1e035da69bb933bf/ml/mad/src/conf.py#L317,,Valentin Lapparov,
Adaptation,"A technique to control MAD model adaptation to abnormal behavior ",MAD,"April 19, 2023",https://www.notion.so/packetai/Adaptation-9675df1747aa4aaa820437a90cfad530?pvs=4,https://github.com/PacketAI/code/blob/1f5184f88ebea71ce319794c1e035da69bb933bf/ml/mad/src/detectors/detector.py#L124,,Valentin Lapparov,
