ITComponentId,agent,anomalyEnd,anomalyStart,infrastructure,metricType,relevanceScore,timestamp
pythonexternal-is-rabbit-master,docker,1633402790000,1633402010000,60ddc7da72033d00111f4be1,docker#network#out#bytes-no_subject,0.9698036000931678,1633403090000
pythonzero-gachis-rabbit-master,docker,1633402780000,1633402000000,60ddc7da72033d00111f4be1,docker#network#out#packets-no_subject,0.8634286453243861,1633402960000
pythonzero-gachis-rabbit-master,docker,1633402780000,1633402000000,60ddc7da72033d00111f4be1,docker#network#in#bytes-no_subject,0.8707107216082633,1633402960000
pythonzero-gachis-rabbit-master,docker,1633402780000,1633402000000,60ddc7da72033d00111f4be1,docker#network#in#packets-no_subject,0.8655859932616163,1633402960000
pythonzero-gachis-rabbit-master,docker,1633402840000,1633402000000,60ddc7da72033d00111f4be1,docker#network#out#bytes-no_subject,0.9153162648806424,1633403020000
pythonexternal-is-rabbit-master,docker,1633403090000,1633402430000,60ddc7da72033d00111f4be1,docker#network#in#packets-no_subject,0.8030550495893415,1633403270000
pythonexternal-is-rabbit-master,docker,1633403090000,1633402430000,60ddc7da72033d00111f4be1,docker#network#out#packets-no_subject,0.802320664670718,1633403270000
pythonzero-gachis-rabbit-master,docker,1633403320000,1633402780000,60ddc7da72033d00111f4be1,docker#cpu#user#pct-no_subject,0.7706776039505284,1633403500000
pythonzero-gachis-rabbit-master,docker,1633403320000,1633402540000,60ddc7da72033d00111f4be1,docker#cpu#total#pct-no_subject,0.7666068732921669,1633403500000
pythonexternal-is-rabbit-master,docker,1633404290000,1633403570000,60ddc7da72033d00111f4be1,docker#network#in#packets-no_subject,0.7157510931192937,1633404470000
pythonexternal-is-rabbit-master,docker,1633404410000,1633403570000,60ddc7da72033d00111f4be1,docker#network#out#packets-no_subject,0.7132685200201827,1633404590000
pythonexternal-is-rabbit-master,docker,1633404470000,1633403870000,60ddc7da72033d00111f4be1,docker#memory#usage#total-no_subject,0.99,1633404650000
pythonexternal-is-rabbit-master,docker,1633404470000,1633403930000,60ddc7da72033d00111f4be1,docker#memory#rss#total-no_subject,0.985,1633404650000
zero-gachis-cron-develop,docker,1633404550000,1633404130000,60ddc7da72033d00111f4be1,docker#network#in#packets-no_subject,0.7217089911376329,1633404730000
zero-gachis-cron-develop,docker,1633404610000,1633404250000,60ddc7da72033d00111f4be1,docker#memory#usage#total-no_subject,0.7171253226234819,1633404790000
sdet-cron-develop,docker,1633406660000,1633406420000,60ddc7da72033d00111f4be1,docker#network#out#packets-no_subject,0.7249873447485852,1633407020000
pythondead-letter-rabbit-develop,docker,1633406860000,1633406440000,60ddc7da72033d00111f4be1,docker#network#out#bytes-no_subject,0.7075126577804326,1633407040000
javakeycloak-service-develop,docker,1633410110000,1633409510000,60ddc7da72033d00111f4be1,docker#memory#rss#total-no_subject,0.8140209596387145,1633410290000
javakeycloak-service-develop,docker,1633410110000,1633409510000,60ddc7da72033d00111f4be1,docker#memory#usage#total-no_subject,0.8389055055451303,1633410290000
pythondonation-service-master,docker,1633412180000,1633411940000,60ddc7da72033d00111f4be1,docker#network#in#packets-no_subject,0.7343012064152985,1633412360000
pythondonation-service-master,docker,1633412180000,1633411940000,60ddc7da72033d00111f4be1,docker#network#in#bytes-no_subject,0.7328277528853193,1633412360000
pythondonation-service-master,docker,1633412180000,1633411940000,60ddc7da72033d00111f4be1,docker#network#out#packets-no_subject,0.7277788113062701,1633412360000
pythondonation-service-master,docker,1633412180000,1633411940000,60ddc7da72033d00111f4be1,docker#network#out#bytes-no_subject,0.7332994017086266,1633412360000
sync-service-develop,docker,1633412350000,1633411870000,60ddc7da72033d00111f4be1,docker#cpu#total#pct-no_subject,0.7850950640510684,1633412530000
pythonauth-service-master,docker,1633413720000,1633413660000,60ddc7da72033d00111f4be1,docker#network#in#bytes-no_subject,0.7327944498225234,1633413900000
pythonauth-service-master,docker,1633413720000,1633413660000,60ddc7da72033d00111f4be1,docker#network#out#bytes-no_subject,0.7340394088669951,1633413900000
