Name,Assign,Date,Status
Light-weight 3 sigma anomaly detection on metrics,,"May 11, 2021 → June 10, 2021",
Advanced LSTM based Anomaly detection 1to1,,"May 19, 2021 → June 30, 2021",
Advanced Nto1 LSTM based AD,,"July 1, 2021 → August 1, 2021",
Basic time based RCA,,"May 11, 2021 → June 7, 2021",
"""Microscope"": causality based RCA",,"May 11, 2021 → June 14, 2021",
"Microscope on asynchronous microservice architectures ",,"June 16, 2021 → June 29, 2021",
"Logcluster: pattern based AD on logs ",,"May 11, 2021 → June 10, 2021",
"Deeplog: sequence based AD on logs ",,"May 11, 2021 → June 10, 2021",
Sara: sentiment and rareness analysis on logs ,,"May 28, 2021 → July 5, 2021",
Incident prediction ,,"August 31, 2021 → December 31, 2021",
"Auto-suggestions ",,"November 1, 2021 → February 10, 2022",
Auto-remediation,,"December 31, 2021 → March 21, 2022",
