Name,Assign,Date,Status
,,,
Anomaly Detection + user feedback,,"August 1, 2021 → August 31, 2021",
AD + User feedback improvements,,"September 1, 2021 → October 31, 2021",
Auto suggestion,,"November 1, 2021 → December 31, 2021",
Incident Prediction V1,,"September 1, 2021 → December 31, 2021",
Auto remediation,,"January 1, 2022 → March 31, 2022",
Incident Prediction - Improvements,,"January 1, 2022 → March 31, 2022",
"Automatic Incident Detection ",,"April 27, 2021 → June 15, 2021",Completed
Metric anomaly detection,,"May 13, 2021 → June 9, 2021",
Sentiment analysis on logs ,,"May 15, 2021 → June 11, 2021",
Outlier log detection ,,"May 15, 2021 → June 11, 2021",
Frequency log anomaly detection ,,"May 15, 2021 → June 11, 2021",Completed
Log pattern anomaly detection ,,"May 15, 2021 → June 11, 2021",
Sequence log anomaly detection ,,"May 15, 2021 → June 11, 2021",
"Automatic Root Cause Analysis ",,"April 28, 2021 → June 17, 2021",
,,"May 22, 2021 → June 18, 2021",
"User feedback - metrics ",,"June 15, 2021 → July 9, 2021",
User feedback - logs,,"July 3, 2021 → July 23, 2021",
"Incident Prediction ",,"September 1, 2021 → December 31, 2021",
Auto-suggestion ,,"October 31, 2021 → February 16, 2022",
Auto-remediation,,"January 1, 2022 → February 21, 2022",
