Configuration,'standard' profile,'reward_low_FP_rate' profile,'reward_low_FN_rate' profile,Comment
results,43.28,39.27,57.3,
results2,43.28,39.27,57.3,
results3,48.18,44.13,61.43,
results4,48,43.99,60.45,
results5,48.07,44.66,60.5,
results6,47.62,45.3,61.73,
results7,48.05,45.22,60.74,
results8,47.73,46.65,59.05,We use the optimal weights to maximize the f2-score (we exclude histogram_bins and add hank)
results9,46.45,41.51,59.13,We use the optimal weights to maximize the f2-score (we exclude histogram_bins and hank)
results10,52.91,50.08,65.74,"We use the optimal weights to maximize the f2-score "
,,,,
