Name,results4,results5,results6
accuracy,0.996851,0.998843,0.997
avg f1 score,0.1508,0.163,0.214
precision,0.099,0.171,0.174
recall,0.423,0.16,0.423
f1 score,0.16,0.165,0.246
,,,
weighted accuracy,0.996,0.998,0.997
weighted avg f1 score,0.182,0.201,0.246
weighted precision,0.124,0.212,0.203
weighted recall,0.444,0.2,0.444
f1 score,0.257,0.205,0.315
=== Parameters ===,,,
,,,
skyline_com,50,50,50
skyline_med_abs_dev_threshold,6,6,6
walter_threshold,5,10,4
walter_tree_size,256,256,256
walter_num_trees,10,10,10
walter_com,,10,50
,,,
