Name,1,2,3,4,#5
accuracy,0.986447,0.987226,0.986839,0.986829,0.997559
avg f1 score,0.143884,0.097347,0.165656,0.165656,0.251860
precision,0.103712,0.084088,0.143648,0.143648,0.221539
recall,0.394928,0.228261,0.358696,0.358696,0.428571
f1 score,0.16428,0.12290,0.20514,0.20514,0.317269
,,,,,
=== Parameters ===,,,,,
,,,,,
skyline_com,100,10,50,50,50
skyline_med_abs_dev_threshold,6,6,6,3,6
,,,,,Replace histogram_bin by hank detector and use optimized weights (the ones that maximize the f2 score)
,,,,,
