Name,10,11,12,13,14,15,16,17,18
accuracy,0.995213,0.997212,0.998486,0.997039,0.997906,0.997597,0.997321,0.966233,0.997144
avg f1 score,0.119303,0.186752,0.182816,0.124829,0.195903,0.162327,0.168643,0.026277,0.174763
precision,0.077289,0.134432,0.246377,0.082238,0.204503,0.169565,0.153778,0.013612,0.126496
recall,0.409420,0.423913,0.152174,0.355072,0.242754,0.199275,0.242754,0.547101,0.409420
f1 score,0.13,0.2041,0.1881,0.13354,0.221992,0.1832,0.1882,0.026,0.19327
,,,,,,,,,
weighted accuracy,0.995000,0.997149,0.998486,0.997072,0.997809,0.997567,0.997201,0.966620,0.997034
weighted avg f1 score,0.144014,0.226422,0.218942,0.149570,0.226086,0.200361,0.202806,0.033901,0.210424
weighted precision,0.094289,0.169364,0.303704,0.101916,0.225873,0.202963,0.181429,0.017652,0.157671
weighted recall,0.466667,0.444444,0.177778,0.355556,0.288889,0.244444,0.288889,0.577778,0.422222
f1 score,0.15688,0.2452,0.224,0.1584,0.2535,0.221,0.2228,0.034,0.229
,,,,,,,,,
=== Parameters ===,,,,,,,,,
walter_num_trees,10,10,10,10,10,10,10,10,10
walter_window,10,10,10,10,10,10,10,10,10
walter_tree_size,256,256,256,256,256,256,256,256,256
walter_threshold,10,10,10,10,4,3,3,3,4
=Additional Statistic=,Moving Average,"Exponential Moving Average
com=50","Exponential Moving Average
com=10","Exponential Moving Average
com=100","Exponential Moving Average
com=10","Exponential Moving Average
com=10","Exponential Moving Average
com=10 (50% codisp and 50% ema)","Exponential Moving Average
com=10 (70% codisp and 30% ema)","Exponential Moving Average
com=50"
