Name 1,Base,-,2,3,4,Name,5,6,7,7a
accuracy,0.946706,0.963876,0.963366,0.961872,0.964823,accuracy,0.963245,0.965177,0.97414,0.993932
avg f1 score,0.020427,0.026801,0.026163,0.026555,0.028728,avg f1 score,0.026803,0.029773,0.030979,0.073794
precision,0.010467,0.013841,0.013523,0.013705,0.014846,precision,0.013844,0.015419,0.016184,0.044369
recall,0.67029,0.59058,0.568841,0.619565,0.605072,recall,0.59058,0.605072,0.48913,0.34058
f1 score,0.020612,0.020612,0.02641,0.0268,0.02898,f1 score,0.027,0.03,0.031,0.078
,,,,,,,,,,
weighted accuracy,,0.964434,0.963245,0.962082,0.965562,weighted accuracy,0.963977,0.965651,0.974915,0.975908
weighted avg f1 score,,0.033337,0.032491,0.033855,0.036009,weighted f1 score,0.033376,0.037825,0.039407,0.036623
weighted precision,,0.017301,0.016858,0.017546,0.018698,weighted precision,0.017321,0.019668,0.02072,0.019395
weighted recall,,0.6,0.6,0.644444,0.622222,weighted recall,0.6,0.644444,0.511111,0.466667
weighted f1 score,,0.0336,0.03279,0.03416,0.03612,weighted f1 score,0.0336,0.0381,0.0398,0.0372
,,,,,,,,,,
=== Parameters ===,,,,,,=== Parameters ===,,,,
walter_num_trees,40,40,40,40,20,walter_num_trees,100,10,10,10
walter_window,10,10,10,10,10,walter_window,10,10,10,10
walter_tree_size,256,256,100,400,256,walter_tree_size,256,256,256,256
walter_threshold,3,4,4,4,4,walter_threshold,4,4,5,10
