Configuration,'standard' profile,'reward_low_FP_rate' profile,'reward_low_FN_rate' profile
walter2,31.03,31.03,41.38
walter3,31.03,31.03,41.84
walter4,31.03,31.03,41.38
walter5,31.03,31.03,41.38
walter6,31.03,31.03,41.38
walter7,31.03,31.03,47.42
walter7a,31.03,31.03,47.33
walter8,31.03,31.03,48
walter9,43.95,40.66,55.74
walter10,46.07,40.1,59.41
walter11,47.4,43.5,59.64
walter12,45.68,39.72,60.34
walter13,45.2,42.89,59.16
walter14,43.84,39.91,56.52
walter15,43.38,39.54,55.8
walter16,44.1,39.38,57.18
walter17,43.19,39.37,55.52
walter18,46.88,43.22,59.35
,,,
