Name,Before,After,Diff,Ratio
"accuracy

",0.997251,0.997496,0.000245,0.024567536157
f1 score,0.209285,0.243477,0.034192,16.337530162219
precision,0.172326,0.234843,0.062517,36.278332927126
recall,0.402174,0.344203,-0.057971,-14.414407694182
,0,0,0,-100
"weighted accuracy
",0.997152,0.997238,0.000086,0.008624562755
"weighted f1 score
",0.239753,0.245839,0.006086,2.538445817154
"weighted precision
",0.198891,0.233585,0.034694,17.443725457663
weighted recall,0.422222,0.355556,-0.066666,-15.789324099644
,,,0,-100
