Name,Before,After,Diff,Ratio
"accuracy

",0.997251,0.99851,0.001259,0.126247053149
f1 score,0.209285,0.225503,0.016218,7.749241464988
precision,0.172326,0.233696,0.06137,35.612734004155
recall,0.402174,0.257246,-0.144928,-36.036143559753
,0,0,0,-100
"weighted accuracy
",0.997152,0.998366,0.001214,0.1217467347
"weighted f1 score
",0.239753,0.255402,0.015649,6.527134175589
"weighted precision
",0.198891,0.260185,0.061294,30.817885173286
weighted recall,0.422222,0.288889,-0.133333,-31.578885041518
,,,0,-100
