Name,Before,After,Diff,Ratio
"accuracy

",0.997251,0.998096,0.000845,0.084732930827
f1 score,0.209285,0.215787,0.006502,3.106768282486
precision,0.172326,0.209627,0.037301,21.645601940508
recall,0.402174,0.278986,-0.123188,-30.630523106914
,0,0,0,-100
"weighted accuracy
",0.997152,0.998015,0.000863,0.086546484388
"weighted f1 score
",0.239753,0.245132,0.005379,2.243558996134
"weighted precision
",0.198891,0.236508,0.037617,18.913374662504
weighted recall,0.422222,0.311111,-0.111111,-26.315777008304
,,,0,-100
