Name,Before,After,Diff,Ratio
"accuracy

",0.996876,0.997395,0.000519,0.052062643699
f1 score,0.199732,0.23171,0.031978,16.010454008371
precision,0.148755,0.22387,0.075115,50.495781654398
recall,0.402174,0.344203,-0.057971,-14.414407694182
,0,0,0,-100
"weighted accuracy
",0.996724,0.997149,0.000425,0.042639687617
"weighted f1 score
",0.231366,0.239737,0.008371,3.618076986247
"weighted precision
",0.175783,0.227923,0.05214,29.661571369245
weighted recall,0.422222,0.355556,-0.066666,-15.789324099644
,,,0,-100
