Name,Before,After,Diff,Ratio
"accuracy

",0.996876,0.997873,0.000997,0.100012438859
f1 score,0.199732,0.212681,0.012949,6.483187471211
precision,0.148755,0.20528,0.056525,37.998722732009
recall,0.402174,0.278986,-0.123188,-30.630523106914
,0,0,0,-100
"weighted accuracy
",0.996724,0.997777,0.001053,0.105646096612
"weighted f1 score
",0.231366,0.24037,0.009004,3.891669476068
"weighted precision
",0.175783,0.229841,0.054058,30.752689395448
weighted recall,0.422222,0.311111,-0.111111,-26.315777008304
,,,0,-100
