Name,Before,After,Diff,Ratio
"accuracy

",0.996876,0.998431,0.001555,0.155987304339
f1 score,0.199732,0.218257,0.018525,9.274928404061
precision,0.148755,0.211957,0.063202,42.487311350879
recall,0.402174,0.257246,-0.144928,-36.036143559753
,0,0,0,-100
"weighted accuracy
",0.996724,0.998316,0.001592,0.159723253378
"weighted f1 score
",0.231366,0.247994,0.016628,7.186881391389
"weighted precision
",0.175783,0.237963,0.06218,35.373158951662
weighted recall,0.422222,0.288889,-0.133333,-31.578885041518
,,,0,-100
