startDate,componentID,suggested label,duration,metric,SIRE_metrics,Comment,cpu_min_norm_pct,cpu_max_norm_pct,memory_min_pct,memory_max_pct,disk_time_min_s,disk_time_max_s,count_anomalies,count_affectedITComponentIds,start,issue_id,cluster,description,count_anomaly_regions,max_relevance_score,avg_relevance_score
"January 30, 2022 8:17 AM (GMT)",mysqlc65d1f2cd07cc218,critical,120,mysql#status#threads#connected-no_subject,"mysql#status#aborted#clients, mysql#status#open#files, mysql#status#threads#connected","Multiple SIRE regions, aborted clients, change in open files and threads connected",,,,,,,3,1,1643530640000,61f649dab4c4265f19ad15a9,2,"medium affected components rate, medium anomaly rate, medium duration",3,0.84,0.79
"February 11, 2022 3:12 PM (GMT)",linux60b8d8abaeb6f802698917b1,critical,180,system#memory#actual#used#pct-no_subject,"system#cpu#idle#norm#pct, system#cpu#system#norm#pct, system#cpu#total#norm#pct, system#cpu#total#pct, system#cpu#user#norm#pct, system#memory#actual#used#pct","system cpu user norm pct: 0.24 (jumped from 0.03 and remained at that level for 20 minutes), system memory actual used pct: 0.14 → 0.145 but both covered with SIRE regions",0.03,0.24,0.14,0.145,,,4,1,1644592350000,62067d3447b6b62363dc05d9,2,"medium affected components rate, medium anomaly rate, medium duration",6,0.8,0.75
"January 30, 2022 5:35 AM (GMT)",packetaipacketai_packetai-agent,warning,120,docker#diskio#summary#wait_time-no_subject,"docker#diskio#read#service_time, docker#diskio#read#wait_time, docker#diskio#summary#service_time, docker#diskio#summary#wait_time, docker#diskio#write#service_time, docker#diskio#write#wait_time",docker diskio summary service_time: 60s → 69s and multiple disk-related anomalies,,,,,60,69,10,1,1643520920000,61f623f5b4c426413bad14d4,2,"medium affected components rate, medium anomaly rate, medium duration",6,0.87,0.78
"January 31, 2022 3:06 AM (GMT)",pythonbackup_dockup-master,warning,180,docker#diskio#write#wait_time-no_subject,"docker#diskio#read#service_time, docker#diskio#summary#service_time, docker#diskio#summary#wait_time, docker#diskio#write#service_time, docker#diskio#write#wait_time",Probably a scheduled work and should be ignored,,,,,,,11,1,1643598390000,61f752f4b4c4263626ad167c,2,"medium affected components rate, medium anomaly rate, medium duration",5,0.99,0.94
"January 30, 2022 5:35 AM (GMT)",pythonbackup_dockup-master,warning,180,docker#memory#rss#total-no_subject,"docker#cpu#system#pct, docker#diskio#read#service_time, docker#diskio#read#wait_time, docker#diskio#summary#ops, docker#diskio#summary#service_time, docker#diskio#summary#wait_time, docker#memory#usage#pct","docker memory usage pct: 0.4 → 0, docker memory rss pct: 0 → 0.1
Should be a warning since there is a complete shutdown. Probably a scheduled work and should be ignored",,,0,0.4,,,29,1,1643520930000,61f62407b4c426f90cad14dd,2,"medium affected components rate, medium anomaly rate, medium duration",7,0.93,0.87
"January 31, 2022 3:00 AM (GMT)",pythonbackup_dockup-master,warning,120,docker#memory#rss#total-no_subject,,Probably a scheduled work and should be ignored,,,,,,,4,1,1643598030000,61f7511eb4c42602bcad166e,2,"medium affected components rate, medium anomaly rate, medium duration",0,0,0
"January 30, 2022 8:15 AM (GMT)",mysql_router,warning,40,docker#memory#rss#total-no_subject,"docker#diskio#read#service_time, docker#diskio#read#wait_time, docker#diskio#summary#ops, docker#diskio#summary#service_time, docker#diskio#summary#wait_time, docker#diskio#write#service_time, docker#diskio#write#wait_time, docker#memory#rss#pct, docker#memory#usage#total","docker diskio write service_time: 1.4s → 0,000399s",,,,,1.4,0.000399,2,2,1643530520000,61f6497cb4c42679dcad159e,0,"low affected components rate, low anomaly rate, short duration",9,0.81,0.74
"February 8, 2022 5:38 PM (GMT)",pythonkoios_koios-tasks,warning,80,docker#memory#usage#pct-no_subject,"docker#cpu#total#norm#pct, docker#cpu#total#pct","docker cpu total norm pct: 0 → 0.2, docker cpu total pct: 0 → 0.83",0,0.2,,,,,8,2,1644341890000,6202aad3b4c426581aad6f41,0,"low affected components rate, low anomaly rate, short duration",2,0.72,0.72
"February 15, 2022 10:51 AM (GMT)",linux61c314eaa137b10130daf2b3,warning,300,docker#memory#usage#total-no_subject,,We have negative logs about CPU: Feb 15 10:50:23 docker-fine-hawk systemd[1]: docker-1f7ff4b4c5c5835fef830ecd444e7bf233065119db3dd46e1766e7cb81508fb9.scope: Consumed 9min 19.007s CPU time,,,,,,,7,5,1644922260000,620b870347b6b639d8dc44d1,2,"medium affected components rate, medium anomaly rate, medium duration",0,0,0
"February 3, 2022 1:01 PM (GMT)",nodecollector-api_collector-api,warning,180,docker#memory#usage#total-no_subject,,"docker cpu total norm pct: 0.01 → 0.17, docker cpu total pct: 0.04 → 0.69, docker cpu user norm pct: 0.01 → 0.17, docker cpu user pct: 0.05 → 0.67, docker memory usage pct: 0.25 → 0.36, docker memory usage total: 7.3Mb - 13Mb (absolute value change)",0.01,0.17,0.25,0.36,,,6,1,1643893280000,61fbd278b4c42660c6ad27c7,2,"medium affected components rate, medium anomaly rate, medium duration",0,0,0
"February 3, 2022 2:49 AM (GMT)",nodehyperion_server,warning,60,docker#memory#usage#total-no_subject,docker#cpu#kernel#pct,"docker cpu total norm pct: 0.04 → 0.16, docker cpu user norm pct: 0.04 → 0.09, docker memory usage pct: 0.2 → 0.01",0.04,0.16,0.2,0.01,,,6,1,1643856590000,61fb4323b4c426a40ead260c,0,"low affected components rate, low anomaly rate, short duration",1,0.74,0.74
"February 3, 2022 1:38 PM (GMT)",nodecollector-api_collector-api,warning,0,docker#memory#usage#total-no_subject,"docker#memory#usage#pct, docker#memory#usage#total",docker memory usage pct: 0.25 → 0.35,,,0.25,0.35,,,1,1,1643895500000,61fbdb26b4c426a5e3ad281c,0,"low affected components rate, low anomaly rate, short duration",2,0.8,0.76
"January 31, 2022 11:51 AM (GMT)",nodereservations-service_reservations-service,warning,250,system#diskio#iostat#busy-sda,,"docker memory usage total: 30Mb, docker memory usage pct: 0.15 → 0.29",,,0.15,0.29,,,8,2,1643629910000,61f7ce2fb4c4267399ad16b5,2,"medium affected components rate, medium anomaly rate, medium duration",0,0,0
"January 28, 2022 12:57 PM (GMT)",linux609bdf19b677860011c6e30e,warning,0,system#memory#actual#used#pct-no_subject,"system#load#norm#15, system#load#norm#5","system load norm 5: 0 → 34.8, system load norm 15: 0 → 32, system memory actual used pct: 0.3 → 0.5",,,0.3,0.5,,,1,1,1643374660000,61f3e895b4c42643dead1488,0,"low affected components rate, low anomaly rate, short duration",2,0.78,0.77
"February 15, 2022 7:50 AM (GMT)",packetaipacketai_packetai-agent,info,180,docker#diskio#read#service_time-no_subject,"docker#diskio#read#service_time, docker#diskio#read#wait_time","Insignificant increase in docker diskio read service_time: 0,174s → 0,1743s",,,,,0.174,0.1745,7,1,1644911420000,620b5bf947b6b67fb9dc4207,2,"medium affected components rate, medium anomaly rate, medium duration",2,0.77,0.76
"February 7, 2022 5:07 PM (GMT)",portainer_agent,info,180,docker#diskio#read#wait_time-no_subject,"docker#memory#usage#total, docker#network#in#packets, docker#network#out#packets","docker cpu total norm pct: 0.003 → 0.0075, docker cpu user norm pct: 0.007, docker diskio read service_time: 0 → 54000ns,  ",,,0.003,0.0075,0,0.00005,18,1,1644253640000,62015290b4c4266dc1ad56b3,2,"medium affected components rate, medium anomaly rate, medium duration",3,0.89,0.78
"February 16, 2022 8:30 AM (GMT)",nodereservations-service_reservations-service,info,0,docker#memory#rss#total-no_subject,,,,,,,,,2,1,1645000210000,620cb65b47b6b6614adc5b70,0,"low affected components rate, low anomaly rate, short duration",0,0,0
"January 10, 2022 4:01 PM (GMT)",dockerc4de29f95db066cf,info,60,docker#memory#usage#pct,,,,,,,,,5,1,1641830460000,61dc58c2f2b9163c51d0e732,0,"low affected components rate, low anomaly rate, short duration",0,0,0
