ITComponentId,__v,_id,anomalyTimestamp,metric,feedback,infrastructure,issue,rootCauseAnomalyTimestamp,rootCauseAnomalyType,rootCauseFeedback,rootCauseSignificant,significant,updatedAt,count_affectedITComponentIds,count_anomalies,count_correlatedITComponentIds,count_masterTopologyComponents,duration,issue_id,is_positive_feedback,component_type,metric_no_subject,absolute_delta,scaled_absolute_delta
apachegaia_scripts,0,61af5de19180fc161a67d8d2,1638881630000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61af59b0af0b5f78aade0436,1638881630000.0,docker#memory#rss#total-no_subject,,False,False,2021-12-07T13:13:09.426Z,1,1,4,6248,0.0,61af59b0af0b5f78aade0436,False,service,docker#memory#rss#total,79225.74222222221,0.05219482608026981
nodesensinglabs-mqtt_sensinglabs-mqtt,0,61af5eaa9180fc161a67ed0c,1638881210000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61af581daf0b5f111dde042e,,,,,False,2021-12-07T13:16:27.855Z,1,2,4,6248,0.0,61af581daf0b5f111dde042e,False,service,docker#memory#rss#total,5130.411991061662,0.0033799741609550197
nodenotifications_notifications-service,0,61af60a19180fc161a68265a,1638825890000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61ae800aaf0b5f2dc9de0419,,,,,False,2021-12-07T13:24:52.846Z,1,4,4,6222,0.0,61ae800aaf0b5f2dc9de0419,False,service,docker#memory#rss#total,274667.0178048742,0.18095377616153893
apachegaia_worker,0,61af60fa9180fc161a683039,1638818270000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61ae6241af0b5f0b78de0409,,,,,False,2021-12-07T13:26:21.979Z,1,3,4,4746,60.0,61ae6241af0b5f0b78de0409,False,service,docker#memory#rss#total,206807.04000000004,0.1362468458130481
apachegaia_scripts,0,61af613a9180fc161a683712,1638796670000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61ae0dd3af0b5f2037de0401,,,,,False,2021-12-07T13:27:23.549Z,1,1,4,6222,0.0,61ae0dd3af0b5f2037de0401,False,service,docker#memory#rss#total,79535.21777777775,0.052398712119645856
linux60fec22cda00c500125f4311,0,61af619d9180fc161a6840e6,1638780380000,system#cpu#system#norm#pct-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61adce3baf0b5f28c9de03e2,,,,,False,2021-12-07T13:29:03.165Z,1,1,31,6201,0.0,61adce3baf0b5f28c9de03e2,False,host,system#cpu#system#norm#pct,0.003037381707343,1.0
noderealtime-status_realtime-worker,0,61af62199180fc161a684d89,1638687620000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61ac63c9af0b5f8023de03bf,,,,,False,2021-12-07T13:31:08.053Z,1,1,4,6102,0.0,61ac63c9af0b5f8023de03bf,False,service,docker#memory#rss#total,0.0,0.0
nodereservations-service_reservations-service,0,61af62719180fc161a685667,1638546890000,docker#diskio#read#wait_time-no_subject,Warning (might generate a bigger issue),6040a96cdcc614001153fc55,61aa3e18af0b5f9da6de038d,,,,,True,2021-12-07T13:32:36.901Z,1,9,8,6204,240.0,61aa3e18af0b5f9da6de038d,True,service,docker#diskio#read#wait_time,0.0,0.0
apachegaia_scripts,0,61af627e9180fc161a6857ba,1638464500000,docker#memory#rss#total-no_subject,Not an anomaly,6040a96cdcc614001153fc55,61a8fc3aaf0b5f3043de036a,,,,,False,2021-12-07T13:32:48.426Z,1,2,4,6224,120.0,61a8fc3aaf0b5f3043de036a,False,service,docker#memory#rss#total,1547.3777777777775,0.0010194301968802697
linux60fec22ada00c500125f430f,0,61af62f69180fc161a686384,1638367290000,system#cpu#user#norm#pct-no_subject,Warning (might generate a bigger issue),6040a96cdcc614001153fc55,61a7808faf0b5f95f6de0336,,,,,True,2021-12-07T13:34:49.072Z,1,1,31,6223,0.0,61a7808faf0b5f95f6de0336,True,host,system#cpu#user#norm#pct,0.0100123264579613,0.0
