Source,# issues,Comment
nodescrapers_scrapers,532,Wrong data aggregation (10s instead of 60s) due to deployment error. The number of issues is not relevant and less in reality
nodehyperion-server_hyperion-server,356,
nodeportal_portal,232,Very sparse and dense data. High threshold should be chosen (at least 0.85)
rubylogs_fluentd,217,
nodeapp_app-web,206,Interesting seasonal patterns
pythonhyperion-client-plages_hyperion,185,"Very sparse and not dense data. Walter and least squares perform better "
pythonkoios_koios-worker,169,
nodereservation_reservation,167,
pythondynamic-flow_scheduler,148,
pythonkoios_koios-tasks,115,Severe peaks (high deviation)
,,
