index,first_hour_average,histogram_bins,least_squares,mean_subtraction_cumulation,median_absolute_deviation,stddev_from_average,stddev_from_moving_average,walter
docker#network#in#bytes-14ef22d9b091b83f,0,0.49995,0.22725,0.03164,0.00229,0.09999,0.13888,0
docker#network#in#bytes-7c81f965445648e8,0,0.33512,0.33512,0.01764,0.00094,0.16756,0.14362,0
docker#network#in#bytes-no_subject,0.00485,0.2173,0.48117,0.01484,0.00116,0.28068,0,0
docker#network#in#packets-071855cba3b49f79,0,0,0,0.10365,0.01535,0,0.881,0
docker#network#in#packets-14ef22d9b091b83f,0,0.46872,0,0.08574,0.01288,0.43266,0,0
docker#network#in#packets-344a93a4529db940,0,0.83132,0,0.14548,0.02319,0,0,0
docker#network#out#bytes-071855cba3b49f79,0,0,0,0.21434,0.01759,0,0.76807,0
docker#network#out#bytes-14ef22d9b091b83f,0,0.65767,0,0.01229,0.0012,0.32883,0,0
docker#network#out#bytes-344a93a4529db940,0,0,0,0.87598,0.12402,0,0,0
docker#network#out#packets-14ef22d9b091b83f,0,0.80878,0,0.00998,0.0015,0.17973,0,0
