,date,significance_score,duration,absolute_delta,relative_delta
0,06/14/2021 16:39:20,13,28,0.00,87.46%
1,06/24/2021 10:36:50,13,16,0.03,4.88%
2,06/24/2021 10:29:50,13,6,0.03,5.02%
3,06/15/2021 13:36:20,12,412.8,0.08,154.57%
4,06/15/2021 09:37:20,12,238.2,0.13,220036.74%
5,06/26/2021 02:02:50,12,1,0.06,9.72%
6,06/21/2021 03:59:40,11,301.2,0.17,57.78%
7,06/14/2021 17:45:20,11,1,0.00,32.43%
8,06/24/2021 10:53:50,11,5,0.02,2.52%
9,06/16/2021 03:59:20,11,577.8,0.06,53.83%
10,06/15/2021 03:59:20,10,337.8,0.03,11893.57%
