,date,significance_score,duration,absolute_delta,relative_delta
0,06/27/2021 01:10:40,68,16,84861.75,986.61
1,06/25/2021 01:10:40,68,16,84287.77,986.29
2,06/24/2021 01:10:40,68,16,84141.81,986.70
3,06/28/2021 01:10:40,68,16,84857.96,981.24
4,06/26/2021 01:10:40,68,16,84517.33,980.61
5,06/24/2021 01:03:40,68,4,74452.76,872.99
6,06/25/2021 01:03:40,68,4,74494.16,871.57
7,06/28/2021 01:03:40,68,4,74566.58,862.26
8,06/27/2021 01:03:40,68,4,74515.20,866.28
9,06/26/2021 01:03:40,68,4,74471.62,863.99
10,06/29/2021 01:10:40,68,3,84589.07,952.83
11,06/21/2021 01:10:40,67,2,82909.77,913.74
12,06/29/2021 01:03:40,67,4,74411.58,838.13
13,06/23/2021 01:10:40,67,16,83507.29,929.67
14,06/23/2021 01:03:40,66,4,73823.17,821.72
15,06/21/2021 01:03:40,66,4,73585.24,810.90
16,06/22/2021 01:03:40,66,9,73472.35,796.03
17,06/20/2021 01:03:40,63,9,72264.54,703.14
18,06/19/2021 01:03:40,60,9,71394.41,642.24
19,06/29/2021 01:16:40,54,10,43323.62,488.04
20,06/20/2021 01:15:40,46,11,41187.06,400.80
21,06/21/2021 01:15:40,45,11,42347.46,466.73
22,06/22/2021 01:15:40,44,11,42344.45,458.88
23,06/19/2021 01:15:40,39,11,40190.36,361.56
24,06/26/2021 22:29:40,14,1,9886.36,114.65
25,06/24/2021 22:29:40,14,1,9951.11,114.03
