Property,metric,MAD score anomalies,significance score anomalies,# anomalies per day before,# anomalies per day after
0,docker#cpu#core#3#norm#pct-no_subject,221,23,31.57,3.29
1,docker#cpu#core#3#pct-no_subject,221,23,31.57,3.29
2,docker#cpu#core#1#norm#pct-no_subject,212,33,30.29,4.71
3,docker#cpu#core#1#pct-no_subject,212,33,30.29,4.71
4,docker#cpu#core#2#norm#pct-no_subject,219,26,31.29,3.71
5,docker#cpu#core#2#pct-no_subject,219,26,31.29,3.71
6,docker#cpu#core#0#norm#pct-no_subject,222,23,31.71,3.29
7,docker#cpu#core#0#pct-no_subject,227,27,32.43,3.86
8,docker#cpu#system#norm#pct-no_subject,0,0,0,0
9,docker#cpu#system#pct-no_subject,0,0,0,0
10,docker#cpu#user#norm#pct-no_subject,248,28,35.43,4
11,docker#cpu#user#pct-no_subject,248,28,35.43,4
12,docker#cpu#kernel#norm#pct-no_subject,331,41,47.29,5.86
13,docker#cpu#kernel#pct-no_subject,331,41,47.29,5.86
14,docker#cpu#total#pct-no_subject,335,42,47.86,6
15,docker#cpu#total#norm#pct-no_subject,335,42,47.86,6
16,docker#diskio#summary#rate-no_subject,81,16,11.57,2.29
17,docker#diskio#summary#ops-no_subject,113,54,16.14,7.71
18,docker#network#out#bytes-no_subject,28,22,4,3.14
19,docker#network#out#packets-no_subject,13,11,1.86,1.57
20,docker#network#in#bytes-no_subject,14,11,2,1.57
21,docker#network#in#packets-no_subject,12,10,1.71,1.43
22,docker#memory#usage#pct-no_subject,91,16,13,2.29
23,docker#memory#rss#pct-no_subject,89,18,12.71,2.57
