Property,metric,MAD score,significance score,# anomalies per day before,# anomalies per day after
0,docker#cpu#core#3#norm#pct-no_subject,58,7,8.29,1
1,docker#cpu#core#3#pct-no_subject,58,7,8.29,1
2,docker#cpu#core#1#norm#pct-no_subject,35,6,5,0.86
3,docker#cpu#core#1#pct-no_subject,35,6,5,0.86
4,docker#cpu#core#2#norm#pct-no_subject,42,4,6,0.57
5,docker#cpu#core#2#pct-no_subject,42,4,6,0.57
6,docker#cpu#core#0#norm#pct-no_subject,45,7,6.43,1
7,docker#cpu#core#0#pct-no_subject,45,7,6.43,1
8,docker#cpu#system#norm#pct-no_subject,0,0,0,0
9,docker#cpu#system#pct-no_subject,0,0,0,0
10,docker#cpu#user#norm#pct-no_subject,10,5,1.43,0.71
11,docker#cpu#user#pct-no_subject,10,5,1.43,0.71
12,docker#cpu#kernel#norm#pct-no_subject,26,5,3.71,0.71
13,docker#cpu#kernel#pct-no_subject,26,5,3.71,0.71
14,docker#cpu#total#pct-no_subject,17,5,2.43,0.71
15,docker#cpu#total#norm#pct-no_subject,17,5,2.43,0.71
16,docker#diskio#summary#rate-no_subject,51,8,7.29,1.14
17,docker#diskio#summary#ops-no_subject,51,8,7.29,1.14
18,docker#network#out#bytes-no_subject,9,7,1.29,1
19,docker#network#out#packets-no_subject,1,1,0.14,0.14
20,docker#network#in#bytes-no_subject,3,3,0.43,0.43
21,docker#network#in#packets-no_subject,1,1,0.14,0.14
22,docker#memory#usage#pct-no_subject,33,9,4.71,1.29
23,docker#memory#rss#pct-no_subject,35,10,5,1.43
