Issue,Tags,The most possible cause
Can't launch gevent: connection in use,"connection, gevent",Another process is using the port
No brokers available while running activate_detection,"brokers, kafka",Problem with Kafka
I can't see ML metrics for one or several components,"kafka, ml metrics are missing",Problem with Kafka or no activation message was sent
"The ec2 MAD instance became unresponsive ","connection, ec2","MAD used all memory available "
I want to run the anomaly detection for a particular topic and read the data from the beginning but I only see the latest points (in case we produce new data) or I can't see any MAD output (in case we do not produce any new data to the topic),kafka,You have connected to Kafka consumer with old kafka group and read from the latest committed offset
kafka connection error,kafka,"not known yet, but it can continue process next message"
kafka producer timeout,kafka,
kafka consumer,kafka,
kakfa async commit issue,,
,,
